Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone,,,,,,,,,,,,,,,
CNB1_4,-33.51732,115.02285,20130101,0:00:00,Ngari Capes,Fished,CN1,27,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CNB2_1,-33.51973,115.01738,20130101,10:28:00,Ngari Capes,Fished,CN2,20,,Yes,No,General Use,,,,,,,,,,,,,,,1
CNB2_2,-33.51521,115.0167,20130101,0:00:00,Ngari Capes,Fished,CN2,31,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CNB2_3,-33.51842,115.01513,20130101,0:00:00,Ngari Capes,Fished,CN2,25,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CNB2_4,-33.51816,115.01809,20130101,0:00:00,Ngari Capes,Fished,CN2,25,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CNB2_5,-33.51675,115.01679,20130101,0:00:00,Ngari Capes,Fished,CN2,29,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CNB6_1,-33.54858,114.99839,20130101,0:00:00,Ngari Capes,Fished,CN6,26,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CNB6_2,-33.54592,114.99826,20130101,0:00:00,Ngari Capes,Fished,CN6,27,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CNB6_3,-33.54513333,114.9959,20130101,0:00:00,Ngari Capes,Fished,CN6,30,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CNB6_4,-33.54527,115.00052,20130101,10:28:00,Ngari Capes,Fished,CN6,24,,Yes,No,General Use,,,,,,,,,,,,,,,4
CNB6_5,-33.54385,114.99842,20130101,0:00:00,Ngari Capes,Fished,CN6,26,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CNB7_1,-33.55389,114.99915,20130101,0:00:00,Ngari Capes,Fished,CN7,28,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CNB7_2,-33.55476,114.99689,20130101,8:45:00,Ngari Capes,Fished,CN7,35,,Yes,No,General Use,,,,,,,,,,,,,,,2
CNB7_3,-33.55617,114.99928,20130101,0:00:00,Ngari Capes,Fished,CN7,28,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CNB7_4,-33.55373,115.00129,20130101,0:00:00,Ngari Capes,Fished,CN7,24,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CNB7_5,-33.55227,114.99868,20130101,0:00:00,Ngari Capes,Fished,CN7,30,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
EGB1_1,-33.54528,115.44194,20130101,0:00:00,Ngari Capes,Fished,EGB1,10.4,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
EGB1_2,-33.5429,115.44287,20130101,0:00:00,Ngari Capes,Fished,EGB1,11,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
EGB1_3,-33.54024,115.44194,20130101,0:00:00,Ngari Capes,Fished,EGB1,11.5,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
EGB1_4,-33.54061,115.43889,20130101,0:00:00,Ngari Capes,Fished,EGB1,11.5,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
EGB1_5,-33.54407,115.43858,20130101,8:42:00,Ngari Capes,Fished,EGB1,11.4,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
EGB2_1,-33.55357,115.43209,20130101,9:31:00,Ngari Capes,Fished,EGB2,11.2,,Yes,No,General Use,,,,,,,,,,,,,,,1
EGB2_2,-33.55262,115.43568,20130101,0:00:00,Ngari Capes,Fished,EGB2,11.1,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
EGB2_3,-33.55155,115.42988,20130101,0:00:00,Ngari Capes,Fished,EGB2,11.6,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
EGB2_4,-33.54995,115.4367,20130101,0:00:00,Ngari Capes,Fished,EGB2,11.1,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
EGB2_5,-33.54821,115.43354,20130101,0:00:00,Ngari Capes,Fished,EGB2,11,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
EGB6_1,-33.59726,115.39604,20130101,0:00:00,Ngari Capes,Fished,EGB6,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
EGB6_2,-33.60056,115.39642,20130101,0:00:00,Ngari Capes,Fished,EGB6,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
EGB6_3,-33.60185,115.39216,20130101,0:00:00,Ngari Capes,Fished,EGB6,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
EGB6_4,-33.59827,115.38932,20130101,0:00:00,Ngari Capes,Fished,EGB6,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
EGB6_5,-33.59482,115.39229,20130101,0:00:00,Ngari Capes,Fished,EGB6,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
EGB7_1,-33.60898,115.37462,20130101,0:00:00,Ngari Capes,Fished,EGB7,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
EGB7_2,-33.60515,115.37367,20130101,0:00:00,Ngari Capes,Fished,EGB7,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
EGB7_3,-33.60283,115.37551,20130101,0:00:00,Ngari Capes,Fished,EGB7,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
EGB7_4,-33.60416,115.37972,20130101,0:00:00,Ngari Capes,Fished,EGB7,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
EGB7_5,-33.60751,115.37981,20130101,0:00:00,Ngari Capes,Fished,EGB7,10,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
INB1_1,-33.66325,114.98905,20130101,0:00:00,Ngari Capes,Fished,INB1,30.6,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
INB1_2,-33.66329,114.99313,20130101,8:53:00,Ngari Capes,Fished,INB1,24.9,,Yes,No,General Use,,,,,,,,,,,,,,,2
INB1_3,-33.66425,114.98653,20130101,0:00:00,Ngari Capes,Fished,INB1,32.7,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
INB1_4,-33.65994,114.99378,20130101,0:00:00,Ngari Capes,Fished,INB1,19.1,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
INB1_5,-33.66472,114.99035,20130101,0:00:00,Ngari Capes,Fished,INB1,24.1,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
INB2_1,-33.6696,114.98166,20130101,0:00:00,Ngari Capes,Fished,INB2,31.8,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
INB2_2,-33.67129,114.9816,20130101,0:00:00,Ngari Capes,Fished,INB2,33.8,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
INB2_3,-33.67023,114.98439,20130101,0:00:00,Ngari Capes,Fished,INB2,25,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
INB2_4,-33.67252,114.98515,20130101,0:00:00,Ngari Capes,Fished,INB2,25.4,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
INB2_5,-33.6682,114.98558,20130101,10:15:00,Ngari Capes,Fished,INB2,21.7,,Yes,No,General Use,,,,,,,,,,,,,,,5
INB6_1,-33.71087,114.96031,20130101,0:00:00,Ngari Capes,Fished,INB6,27.3,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
INB6_2,-33.7117,114.95748,20130101,0:00:00,Ngari Capes,Fished,INB6,32,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
INB6_3,-33.71305,114.96068,20130101,0:00:00,Ngari Capes,Fished,INB6,28,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
INB6_4,-33.70889,114.95886,20130101,0:00:00,Ngari Capes,Fished,INB6,41.2,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
INB6_5,-33.71178,114.96278,20130101,0:00:00,Ngari Capes,Fished,INB6,27.3,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
INB7_1,-33.72044,114.9673,20130101,0:00:00,Ngari Capes,Fished,INB7,31.1,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
INB7_2,-33.67129,114.9816,20130101,0:00:00,Ngari Capes,Fished,INB7,23.3,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
INB7_3,-33.72044,114.97108,20130101,0:00:00,Ngari Capes,Fished,INB7,25.8,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
INB7_4,-33.72254,114.97053,20130101,8:44:00,Ngari Capes,Fished,INB7,28.6,,Yes,No,General Use,,,,,,,,,,,,,,,4
INB7_5,-33.71813,114.9701,20130101,0:00:00,Ngari Capes,Fished,INB7,22.6,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CF5_1,-34.10417,114.95996,20130101,0:00:00,Ngari Capes,No-take,CF5,40,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CF5_2,-34.10263,114.9569,20130101,0:00:00,Ngari Capes,No-take,CF5,40,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CF5_3,-34.10794,114.95655,20130101,0:00:00,Ngari Capes,No-take,CF5,40.1,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CF5_4,-34.10776,114.96035,20130101,0:00:00,Ngari Capes,No-take,CF5,34.1,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CF5_5,-34.10521,114.95433,20130101,11:55:00,Ngari Capes,No-take,CF5,33,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,5
CL3_1,-34.37869,115.0885,20130101,0:00:00,Ngari Capes,No-take,CL3,27.8,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CL3_2,-34.37764,115.0855,20130101,0:00:00,Ngari Capes,No-take,CL3,23.6,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CL3_3,-34.3802,115.08596,20130101,0:00:00,Ngari Capes,No-take,CL3,30,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CL3_4,-34.38001,115.09085,20130101,0:00:00,Ngari Capes,No-take,CL3,27,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
