Sample	Family	Genus	Species	Count	Length
CF1_1	Labridae	Austrolabrus	maculatus	1	121.977
CF1_1	Labridae	Coris	auricularis	1	66.961
CF1_1	Labridae	Coris	auricularis	1	174.377
CF1_1	Labridae	Coris	auricularis	1	272.231
CF1_1	Labridae	Notolabrus	parilus	1	351.098
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	76.712
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	92.443
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	108.502
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	138.575
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	141.2
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	163.328
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	193.1
CF1_1	Labridae	Ophthalmolepis	lineolatus	3	202.5530805
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	240.7
CF1_1	Labridae	Pseudolabrus	biserialis	1	102.097
CF1_1	Labridae	Pseudolabrus	biserialis	1	115.351
CF1_1	Labridae	Pseudolabrus	biserialis	1	142.329
CF1_1	Labridae	Pseudolabrus	biserialis	1	170.385
CF1_1	Labridae	Pseudolabrus	biserialis	1	192.129
CF1_1	Monacanthidae	Meuschenia	flavolineata	1	188.045
CF1_1	Monacanthidae	Meuschenia	galii	1	262.901
CF1_1	Monacanthidae	Meuschenia	venusta	1	149.493
CF1_1	Pomacentridae	Chromis	klunzingeri	1	70.221
CF1_1	Pomacentridae	Chromis	klunzingeri	1	71.396
CF1_1	Pomacentridae	Chromis	klunzingeri	8	71.84435602
CF1_1	Pomacentridae	Chromis	klunzingeri	1	79.291
CF1_1	Scorpididae	Neatypus	obliquus	1	115.643
CF1_1	Scorpididae	Neatypus	obliquus	1	126.598
CF1_1	Scorpididae	Neatypus	obliquus	1	128.019
CF1_1	Scorpididae	Neatypus	obliquus	1	136.817
CF1_1	Scorpididae	Neatypus	obliquus	1	142.5698297
CF1_1	Serranidae	Caesioperca	rasor	1	159.4720781
CF1_1	Serranidae	Caesioperca	rasor	1	195.829
CF1_1	Serranidae	Othos	dentex	1	473.171
CF1_2	Dasyatidae	Bathytoshia	brevicaudata	1	1036.809
CF1_2	Gerreidae	Parequula	melbournensis	1	109.064
CF1_2	Gerreidae	Parequula	melbournensis	1	126.45
CF1_2	Labridae	Coris	auricularis	1	63.403
CF1_2	Labridae	Coris	auricularis	1	70.564
CF1_2	Labridae	Coris	auricularis	1	82.999
