Sample	Family	Genus	Species	Count	Length
CNB1_1	Aracanidae	Anoplocapros	lenticularis	1	239.6695
CNB1_1	Aulopidae	Latropiscis	purpurissatus	1	402.8979
CNB1_1	Carangidae	Pseudocaranx	spp.	1	42.5254
CNB1_1	Carangidae	Pseudocaranx	spp.	1	49.331
CNB1_1	Carangidae	Pseudocaranx	spp.	1	54.1955
CNB1_1	Carangidae	Pseudocaranx	spp.	1	66.5223
CNB1_1	Carangidae	Pseudocaranx	spp.	1	171.5437
CNB1_1	Carangidae	Pseudocaranx	spp.	1	195.8961
CNB1_1	Dasyatidae	Bathytoshia	brevicaudata	1	994.4534
CNB1_1	Kyphosidae	Girella	zebra	1	329.8037
CNB1_1	Labridae	Bodianus	frenchii	1	271.9208
CNB1_1	Labridae	Coris	auricularis	1	117.152
CNB1_1	Labridae	Coris	auricularis	1	181.3254
CNB1_1	Labridae	Coris	auricularis	1	200.1391
CNB1_1	Labridae	Coris	auricularis	1	347.1102
CNB1_1	Labridae	Coris	auricularis	1	356.6225
CNB1_1	Labridae	Notolabrus	parilus	1	321.5729
CNB1_1	Labridae	Notolabrus	parilus	1	332.3964
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	172.1993
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	199.8088
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	207.3424
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	208.606
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	211.1376
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	219.7619
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	225.6259
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	231.3989
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	240.3914
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	241.3686
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	241.5282
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	242.9858
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	249.6861
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	249.8182
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	250.8748
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	273.7431
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	306.3598
CNB1_1	Labridae	Ophthalmolepis	lineolatus	1	317.1439
CNB1_1	Labridae	Pseudolabrus	biserialis	1	189.615
CNB1_1	Labridae	Pseudolabrus	biserialis	1	191.1829
CNB1_1	Monacanthidae	Meuschenia	hippocrepis	1	334.3909
CNB1_1	Monacanthidae	Meuschenia	hippocrepis	1	377.44
CNB1_1	Monacanthidae	Meuschenia	hippocrepis	1	384.5529
CNB1_1	Mullidae	Upeneichthys	vlamingii	1	216.9828
CNB1_1	Muraenidae	Gymnothorax	prasinus	1	627.3646
CNB1_1	Myliobatidae	Myliobatis	tenuicaudatus	1	518.6387
CNB1_1	Odacidae	Olisthops	cyanomelas	1	330.7067
CNB1_1	Pomacentridae	Parma	mccullochi	1	199.3331
CNB1_1	Rhinobatidae	Trygonorrhina	dumerilii	1	872.9112
CNB1_1	Rhinobatidae	Trygonorrhina	dumerilii	1	928.3007
CNB1_1	Scorpididae	Scorpis	aequipinnis	1	317.6995
CNB1_1	Scorpididae	Tilodon	sexfasciatus	1	263.4009
CNB1_1	Scorpididae	Tilodon	sexfasciatus	1	283.3841
CNB1_1	Serranidae	Acanthistius	serratus	1	316.9027
CNB1_1	Sillaginidae	Sillaginodes	punctatus	1	405.8102
CNB1_2	Aplodactylidae	Aplodactylus	westralis	1	NA
CNB1_2	Carangidae	Pseudocaranx	spp.	9	NA
CNB1_2	Labridae	Austrolabrus	maculatus	1	NA
CNB1_2	Labridae	Coris	auricularis	4	NA
CNB1_2	Labridae	Notolabrus	parilus	2	NA
CNB1_2	Labridae	Ophthalmolepis	lineolatus	17	NA
CNB1_2	Labridae	Pictilabrus	laticlavius	1	NA
CNB1_2	Labridae	Pseudolabrus	biserialis	4	NA
CNB1_2	Monacanthidae	Meuschenia	flavolineata	2	NA
CNB1_2	Monacanthidae	Meuschenia	freycineti	1	NA
CNB1_2	Monacanthidae	Meuschenia	galii	3	NA
CNB1_2	Monacanthidae	Meuschenia	hippocrepis	2	NA
CNB1_2	Muraenidae	Gymnothorax	prasinus	1	NA
CNB1_2	Muraenidae	Gymnothorax	woodwardi	2	NA
CNB1_2	Myliobatidae	Myliobatis	tenuicaudatus	2	NA
CNB1_2	Odacidae	Olisthops	cyanomelas	1	NA
CNB1_2	Plesiopidae	Trachinops	noarlungae	12	NA
CNB1_2	Pomacentridae	Parma	mccullochi	1	NA
CNB1_2	Serranidae	Acanthistius	serratus	1	NA
CNB1_2	Serranidae	Hypoplectrodes	nigroruber	1	NA
CNB1_3	Carangidae	Seriola	hippos	1	991.454
CNB1_3	Dasyatidae	Bathytoshia	brevicaudata	1	344.7955
CNB1_3	Dasyatidae	Bathytoshia	brevicaudata	1	541.3217
CNB1_3	Gerreidae	Parequula	melbournensis	1	88.8558
CNB1_3	Heterodontidae	Heterodontus	portusjacksoni	1	492.0417
CNB1_3	Labridae	Coris	auricularis	1	104.5778
CNB1_3	Labridae	Coris	auricularis	1	141.9804
CNB1_3	Labridae	Coris	auricularis	1	257.7888
CNB1_3	Labridae	Coris	auricularis	1	265.6553
