Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CF1_1,-34.03191,114.96272,20100101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use
CF1_2,-34.03489,114.96169,20100101,8:28:00,Ngari Capes,Fished,CF1,33,,Yes,No,General Use
CF1_3,-34.02855,114.96413,20100101,0:00:00,Ngari Capes,Fished,CF1,34,,Yes,Yes,General Use
CF1_4,-34.03055,114.95936,20100101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use
CF1_5,-34.03157,114.96696,20100101,0:00:00,Ngari Capes,Fished,CF1,33,,Yes,Yes,General Use
CF2_1,-34.04905,114.96148,20100101,9:46:00,Ngari Capes,Fished,CF2,34,,Yes,No,General Use
CF2_2,-34.0488,114.95819,20100101,8:46:00,Ngari Capes,Fished,CF2,35,,Yes,No,General Use
CF2_3,-34.04633,114.96125,20100101,8:41:00,Ngari Capes,Fished,CF2,35,,Yes,No,General Use
CF2_4,-34.05197,114.96126,20100101,9:42:00,Ngari Capes,Fished,CF2,33,,Yes,No,General Use
CF2_5,-34.05024,114.96451,20100101,9:38:00,Ngari Capes,Fished,CF2,33,,Yes,No,General Use
CF6_1,-34.12745,114.9704,20100101,0:00:00,Ngari Capes,Fished,CF6,33,,Yes,Yes,General Use
CF6_2,-34.13093,114.96524,20100101,13:53:00,Ngari Capes,Fished,CF6,38,,Yes,No,General Use
CF6_3,-34.131,114.97077,20100101,0:00:00,Ngari Capes,Fished,CF6,33,,Yes,Yes,General Use
CF6_4,-34.12856,114.96747,20100101,0:00:00,Ngari Capes,Fished,CF6,36,,Yes,Yes,General Use
CF6_5,-34.12694,114.96409,20100101,0:00:00,Ngari Capes,Fished,CF6,38,,Yes,Yes,General Use
CF7_1,-34.14448,114.97774,20100101,14:25:00,Ngari Capes,Fished,CF7,34,,Yes,No,General Use
CF7_2,-34.14769,114.97721,20100101,14:34:00,Ngari Capes,Fished,CF7,35,,Yes,No,General Use
CF7_3,-34.14556,114.98145,20100101,0:00:00,Ngari Capes,Fished,CF7,33,,Yes,Yes,General Use
CF7_4,-34.14455,114.97364,20100101,0:00:00,Ngari Capes,Fished,CF7,35,,Yes,Yes,General Use
CF7_5,-34.14146,114.97915,20100101,0:00:00,Ngari Capes,Fished,CF7,33,,Yes,Yes,General Use
CL1_1,-34.35721,115.06417,20100101,0:00:00,Ngari Capes,Fished,CL1,26,,Yes,Yes,General Use
CL1_2,-34.35542,115.06177,20100101,7:45:00,Ngari Capes,Fished,CL1,28,,Yes,No,General Use
CL1_3,-34.35844,115.06157,20100101,0:00:00,Ngari Capes,Fished,CL1,30,,Yes,Yes,General Use
CL1_4,-34.35532,115.06578,20100101,0:00:00,Ngari Capes,Fished,CL1,24,,Yes,Yes,General Use
CL1_5,-34.35745,115.06715,20100101,0:00:00,Ngari Capes,Fished,CL1,23,,Yes,Yes,General Use
CL2_1,-34.3644,115.07297,20100101,9:24:00,Ngari Capes,Fished,CL2,27.5,,Yes,No,General Use
CL2_2,-34.36204,115.07282,20100101,8:20:00,Ngari Capes,Fished,CL2,26,,Yes,No,General Use
CL2_3,-34.36375,115.07592,20100101,9:28:00,Ngari Capes,Fished,CL2,23,,Yes,No,General Use
CL2_4,-34.36358,115.07009,20100101,8:25:00,Ngari Capes,Fished,CL2,29,,Yes,No,General Use
CL2_5,-34.36616,115.07069,20100101,9:20:00,Ngari Capes,Fished,CL2,29,,Yes,No,General Use
CL6_1,-34.40822,115.12167,20100101,13:27:00,Ngari Capes,Fished,CL6,30,,Yes,Yes,General Use
CL6_2,-34.40657,115.12447,20100101,13:01:00,Ngari Capes,Fished,CL6,30,,Yes,No,General Use
CL6_3,-34.40568,115.12019,20100101,0:00:00,Ngari Capes,Fished,CL6,30,,Yes,Yes,General Use
CL6_4,-34.41005,115.11918,20100101,0:00:00,Ngari Capes,Fished,CL6,26,,Yes,Yes,General Use
CL6_5,-34.40795,115.11758,20100101,0:00:00,Ngari Capes,Fished,CL6,30,,Yes,Yes,General Use
CL7_1,-34.41598,115.1302,20100101,0:00:00,Ngari Capes,Fished,CL7,32,,Yes,Yes,General Use
CL7_2,-34.41317,115.12935,20100101,14:36:00,Ngari Capes,Fished,CL7,31,,Yes,No,General Use
CL7_3,-34.4152,115.12618,20100101,0:00:00,Ngari Capes,Fished,CL7,33,,Yes,Yes,General Use
CL7_4,-34.41515,115.12649,20100101,0:00:00,Ngari Capes,Fished,CL7,32,,Yes,Yes,General Use
CL7_5,-34.41844,115.12946,20100101,0:00:00,Ngari Capes,Fished,CL7,32,,Yes,Yes,General Use
CNB1_1,-33.51969,115.0228,20100101,0:00:00,Ngari Capes,Fished,CNB1,21,,Yes,Yes,General Use
CNB1_3,-33.51872,115.02471,20100101,0:00:00,Ngari Capes,Fished,CNB1,23,,Yes,Yes,General Use
CNB1_4,-33.51732,115.02285,20100101,0:00:00,Ngari Capes,Fished,CNB1,26.5,,Yes,Yes,General Use
CNB1_5,-33.52143,115.02579,20100101,0:00:00,Ngari Capes,Fished,CNB1,21,,Yes,Yes,General Use
CNB2_1,-33.51973,115.01738,20100101,15:21:00,Ngari Capes,Fished,CNB2,17,,Yes,No,General Use
CNB2_2,-33.51521,115.0167,20100101,16:12:00,Ngari Capes,Fished,CNB2,29,,Yes,No,General Use
CNB2_5,-33.51675,115.01679,20100101,16:19:00,Ngari Capes,Fished,CNB2,28,,Yes,No,General Use
CNB6_1,-33.54858,114.99839,20100101,0:00:00,Ngari Capes,Fished,CNB6,25.7,,Yes,Yes,General Use
CNB6_2,-33.54592,114.99826,20100101,8:53:00,Ngari Capes,Fished,CNB6,25.5,,Yes,No,General Use
CNB6_3,-33.5451,114.9959,20100101,0:00:00,Ngari Capes,Fished,CNB6,30.8,,Yes,Yes,General Use
CNB6_4,-33.54527,115.00052,20100101,0:00:00,Ngari Capes,Fished,CNB6,22,,Yes,Yes,General Use
CNB6_5,-33.54385,114.99842,20100101,0:00:00,Ngari Capes,Fished,CNB6,25,,Yes,Yes,General Use
CNB7_1,-33.55389,114.99915,20100101,0:00:00,Ngari Capes,Fished,CNB7,29.9,,Yes,Yes,General Use
CNB7_2,-33.55476,114.99689,20100101,11:08:00,Ngari Capes,Fished,CNB7,34.8,,Yes,No,General Use
CNB7_3,-33.55617,114.99928,20100101,0:00:00,Ngari Capes,Fished,CNB7,27.8,,Yes,Yes,General Use
CNB7_4,-33.55373,115.00129,20100101,0:00:00,Ngari Capes,Fished,CNB7,22,,Yes,Yes,General Use
INB1_1,-33.66325,114.98905,20100101,8:20:00,Ngari Capes,Fished,INB1,29,,Yes,No,General Use
INB1_2,-33.66329,114.99313,20100101,8:51:00,Ngari Capes,Fished,INB1,33,,Yes,No,General Use
INB1_4,-33.65994,114.99378,20100101,0:00:00,Ngari Capes,Fished,INB1,20,,Yes,Yes,General Use
INB1_5,-33.66472,114.99035,20100101,0:00:00,Ngari Capes,Fished,INB1,25,,Yes,Yes,General Use
INB2_1,-33.6696,114.98166,20100101,6:56:00,Ngari Capes,Fished,INB2,32,,Yes,No,General Use
INB2_2,-33.67129,114.9816,20100101,6:48:00,Ngari Capes,Fished,INB2,35,,Yes,No,General Use
INB2_3,-33.67023,114.98439,20100101,7:56:00,Ngari Capes,Fished,INB2,25,,Yes,No,General Use
INB2_4,-33.67252,114.98515,20100101,7:39:00,Ngari Capes,Fished,INB2,28,,Yes,No,General Use
INB6_1,-33.71087,114.96031,20100101,0:00:00,Ngari Capes,Fished,INB6,27,,Yes,Yes,General Use
INB6_2,-33.7117,114.95748,20100101,9:35:00,Ngari Capes,Fished,INB6,33,,Yes,No,General Use
INB6_4,-33.70889,114.95886,20100101,0:00:00,Ngari Capes,Fished,INB6,39.5,,Yes,Yes,General Use
INB6_5,-33.71178,114.96278,20100101,0:00:00,Ngari Capes,Fished,INB6,27,,Yes,Yes,General Use
INB7_1,-33.72044,114.9673,20100101,0:00:00,Ngari Capes,Fished,INB7,35,,Yes,Yes,General Use
INB7_2,-33.7234,114.97378,20100101,7:58:00,Ngari Capes,Fished,INB7,22,,Yes,No,General Use
INB7_3,-33.72044,114.97108,20100101,0:00:00,Ngari Capes,Fished,INB7,26,,Yes,Yes,General Use
INB7_4,-33.72254,114.97053,20100101,0:00:00,Ngari Capes,Fished,INB7,26,,Yes,Yes,General Use
INB7_5,-33.71813,114.9701,20100101,0:00:00,Ngari Capes,Fished,INB7,26.3,,Yes,Yes,General Use
CF3_1,-34.07067,114.96003,20100101,0:00:00,Ngari Capes,No-take,CF3,33,,Yes,Yes,Sanctuary Zone
CF3_2,-34.06784,114.95917,20100101,10:02:00,Ngari Capes,No-take,CF3,29,,Yes,No,Sanctuary Zone
CF3_3,-34.07017,114.95579,20100101,0:00:00,Ngari Capes,No-take,CF3,32,,Yes,Yes,Sanctuary Zone
CF3_4,-34.07073,114.96382,20100101,0:00:00,Ngari Capes,No-take,CF3,32,,Yes,Yes,Sanctuary Zone
CF3_5,-34.07356,114.95884,20100101,0:00:00,Ngari Capes,No-take,CF3,34,,Yes,Yes,Sanctuary Zone
CF4_1,-34.08747,114.96331,20100101,0:00:00,Ngari Capes,No-take,CF4,34,,Yes,Yes,Sanctuary Zone
CF4_2,-34.08807,114.95965,20100101,11:09:00,Ngari Capes,No-take,CF4,34,,Yes,No,Sanctuary Zone
CF4_3,-34.08495,114.96121,20100101,0:00:00,Ngari Capes,No-take,CF4,33,,Yes,Yes,Sanctuary Zone
CF4_4,-34.08604,114.96698,20100101,0:00:00,Ngari Capes,No-take,CF4,33,,Yes,Yes,Sanctuary Zone
CF4_5,-34.08961,114.96561,20100101,0:00:00,Ngari Capes,No-take,CF4,33,,Yes,Yes,Sanctuary Zone
CF5_1,-34.10417,114.95996,20100101,0:00:00,Ngari Capes,No-take,CF5,32,,Yes,Yes,Sanctuary Zone
CF5_2,-34.10263,114.9569,20100101,11:53:00,Ngari Capes,No-take,CF5,39,,Yes,No,Sanctuary Zone
CF5_3,-34.10794,114.95655,20100101,0:00:00,Ngari Capes,No-take,CF5,39,,Yes,Yes,Sanctuary Zone
CF5_4,-34.10776,114.96035,20100101,0:00:00,Ngari Capes,No-take,CF5,35,,Yes,Yes,Sanctuary Zone
CF5_5,-34.10521,114.95433,20100101,0:00:00,Ngari Capes,No-take,CF5,39,,Yes,Yes,Sanctuary Zone
CL3_1,-34.37869,115.0885,20100101,0:00:00,Ngari Capes,No-take,CL3,27,,Yes,Yes,Sanctuary Zone
CL3_2,-34.37764,115.0855,20100101,9:34:00,Ngari Capes,No-take,CL3,23,,Yes,No,Sanctuary Zone
CL3_3,-34.3802,115.08596,20100101,0:00:00,Ngari Capes,No-take,CL3,28,,Yes,Yes,Sanctuary Zone
CL3_4,-34.38001,115.09085,20100101,0:00:00,Ngari Capes,No-take,CL3,27,,Yes,Yes,Sanctuary Zone
CL3_5,-34.37646,115.08992,20100101,0:00:00,Ngari Capes,No-take,CL3,26.5,,Yes,Yes,Sanctuary Zone
CL4_1,-34.38602,115.09892,20100101,0:00:00,Ngari Capes,No-take,CL4,28,,Yes,Yes,Sanctuary Zone
CL4_2,-34.38339,115.09949,20100101,11:20:00,Ngari Capes,No-take,CL4,28,,Yes,No,Sanctuary Zone
CL4_3,-34.38554,115.09546,20100101,0:00:00,Ngari Capes,No-take,CL4,29,,Yes,Yes,Sanctuary Zone
CL4_4,-34.38544,115.10156,20100101,0:00:00,Ngari Capes,No-take,CL4,27,,Yes,Yes,Sanctuary Zone
CL4_5,-34.38787,115.09687,20100101,0:00:00,Ngari Capes,No-take,CL4,29,,Yes,Yes,Sanctuary Zone
CL5_1,-34.39294,115.10999,20100101,0:00:00,Ngari Capes,No-take,CL5,29,,Yes,Yes,Sanctuary Zone
CL5_2,-34.3906,115.10956,20100101,12:07:00,Ngari Capes,No-take,CL5,27,,Yes,No,Sanctuary Zone
CL5_3,-34.39252,115.10746,20100101,0:00:00,Ngari Capes,No-take,CL5,29,,Yes,Yes,Sanctuary Zone
