Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CF1_1,-34.03191,114.96272,20140101,0:00:00,Ngari Capes,Fished,CF1,36,,Yes,Yes,General Use
CF1_2,-34.03489,114.96169,20140101,0:00:00,Ngari Capes,Fished,CF1,37.5,,Yes,Yes,General Use
CF1_3,-34.02855,114.96413,20140101,0:00:00,Ngari Capes,Fished,CF1,34.1,,Yes,Yes,General Use
CF1_4,-34.03055,114.95936,20140101,0:00:00,Ngari Capes,Fished,CF1,37.1,,Yes,Yes,General Use
CF1_5,-34.03157,114.96696,20140101,0:00:00,Ngari Capes,Fished,CF1,34.6,,Yes,Yes,General Use
CF2_1,-34.04905,114.96148,20140101,0:00:00,Ngari Capes,Fished,CF2,35.8,,Yes,Yes,General Use
CF2_2,-34.0488,114.95819,20140101,0:00:00,Ngari Capes,Fished,CF2,36.1,,Yes,Yes,General Use
CF2_3,-34.04633,114.96125,20140101,0:00:00,Ngari Capes,Fished,CF2,25.6,,Yes,Yes,General Use
CF2_4,-34.0518,114.9614,20140101,0:00:00,Ngari Capes,Fished,CF2,32.7,,Yes,Yes,General Use
CF2_5,-34.0502,114.9645,20140101,0:00:00,Ngari Capes,Fished,CF2,33,,Yes,Yes,General Use
CF6_1,-34.12745,114.9704,20140101,0:00:00,Ngari Capes,Fished,CF6,32.7,,Yes,Yes,General Use
CF6_2,-34.13093,114.96524,20140101,0:00:00,Ngari Capes,Fished,CF6,38.9,,Yes,Yes,General Use
CF6_3,-34.131,114.97077,20140101,0:00:00,Ngari Capes,Fished,CF6,31.6,,Yes,Yes,General Use
CF6_4,-34.12856,114.96747,20140101,0:00:00,Ngari Capes,Fished,CF6,35.6,,Yes,Yes,General Use
CF6_5,-34.12694,114.96409,20140101,0:00:00,Ngari Capes,Fished,CF6,39.7,,Yes,Yes,General Use
CF7_1,-34.14448,114.97774,20140101,0:00:00,Ngari Capes,Fished,CF7,34.9,,Yes,Yes,General Use
