Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CNB1_1,-33.5198,115.023,20070301,0:00:00,Ngari Capes,Fished,CNB1,20,,Yes,Yes,General Use
CNB1_2,-33.5219,115.0237,20070301,13:21:00,Ngari Capes,Fished,CNB1,20.9,,Yes,No,General Use
CNB1_3,-33.5188,115.0253,20070301,0:00:00,Ngari Capes,Fished,CNB1,22,,Yes,No,General Use
CNB1_4,-33.5174,115.0232,20070301,0:00:00,Ngari Capes,Fished,CNB1,22.3,,Yes,Yes,General Use
CNB1_5,-33.5214,115.0263,20070301,0:00:00,Ngari Capes,Fished,CNB1,20,,Yes,No,General Use
CNB2_1,-33.52,115.0172,20070301,13:44:00,Ngari Capes,Fished,CNB2,18.6,,Yes,No,General Use
CNB2_2,-33.5154,115.0165,20070301,13:39:00,Ngari Capes,Fished,CNB2,23,,Yes,No,General Use
CNB2_3,-33.5185,115.0151,20070301,14:49:00,Ngari Capes,Fished,CNB2,27,,Yes,No,General Use
CNB2_4,-33.5183,115.018,20070301,14:53:00,Ngari Capes,Fished,CNB2,23.7,,Yes,No,General Use
CNB2_5,-33.517,115.0165,20070301,14:56:00,Ngari Capes,Fished,CNB2,28,,Yes,Yes,General Use
CNB6_1,-33.5481,114.9986,20070301,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB6_2,-33.5459,114.9983,20070301,11:00:00,Ngari Capes,Fished,CNB6,30,,Yes,No,General Use
CNB6_3,-33.5451,114.9959,20070301,11:38:00,Ngari Capes,Fished,CNB6,28,,Yes,No,General Use
CNB6_4,-33.5453,115.0005,20070301,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB7_1,-33.5539,114.9992,20070301,13:18:00,Ngari Capes,Fished,CNB7,30,,Yes,No,General Use
CNB7_2,-33.5547,114.9971,20070301,13:13:00,Ngari Capes,Fished,CNB7,38,,Yes,No,General Use
CNB7_3,-33.5561,114.9994,20070301,13:03:00,Ngari Capes,Fished,CNB7,50,,Yes,No,General Use
CNB7_4,-33.5537,115.0014,20070301,12:53:00,Ngari Capes,Fished,CNB7,24,,Yes,No,General Use
CNB7_5,-33.5523,114.9988,20070301,14:08:00,Ngari Capes,Fished,CNB7,29,,Yes,No,General Use
INB1_3,-33.6642,114.9883,20070301,8:17:00,Ngari Capes,Fished,INB1,35,,Yes,Yes,General Use
INB1_4,-33.6604,114.9934,20070301,0:00:00,Ngari Capes,Fished,INB1,21,,Yes,Yes,General Use
INB1_5,-33.6648,114.9904,20070301,8:12:00,Ngari Capes,Fished,INB1,35,,Yes,Yes,General Use
INB2_1,-33.6696,114.9817,20070301,10:42:00,Ngari Capes,Fished,INB2,30,,Yes,No,General Use
INB2_2,-33.6713,114.9816,20070301,9:30:00,Ngari Capes,Fished,INB2,33,,Yes,No,General Use
INB2_3,-33.6703,114.9843,20070301,9:22:00,Ngari Capes,Fished,INB2,28,,Yes,No,General Use
INB2_4,-33.6726,114.9851,20070301,10:05:00,Ngari Capes,Fished,INB2,20,,Yes,No,General Use
INB2_5,-33.6686,114.9857,20070301,9:17:00,Ngari Capes,Fished,INB2,27,,Yes,No,General Use
INB6_1,-33.7109,114.9604,20070301,16:53:00,Ngari Capes,Fished,INB6,26,,Yes,No,General Use
INB6_2,-33.7118,114.9576,20070301,16:56:00,Ngari Capes,Fished,INB6,28,,Yes,No,General Use
INB6_3,-33.7132,114.9607,20070301,0:00:00,Ngari Capes,Fished,INB6,28.9,,Yes,No,General Use
INB6_4,-33.7089,114.9589,20070301,0:00:00,Ngari Capes,Fished,INB6,25,,Yes,Yes,General Use
INB7_2,-33.7234,114.9739,20070301,7:41:00,Ngari Capes,Fished,INB7,30,,Yes,No,General Use
INB7_3,-33.7205,114.9711,20070301,7:50:00,Ngari Capes,Fished,INB7,32,,Yes,No,General Use
INB7_5,-33.7184,114.9703,20070301,8:00:00,Ngari Capes,Fished,INB7,25,,Yes,No,General Use
CNB3_1,-33.5183,115.0066,20070301,0:00:00,Ngari Capes,No-take,CNB3,25,,Yes,Yes,Sanctuary Zone
CNB3_2,-33.5206,115.0056,20070301,16:16:00,Ngari Capes,No-take,CNB3,30,,Yes,No,Sanctuary Zone
CNB3_4,-33.5222,115.01,20070301,11:41:00,Ngari Capes,No-take,CNB3,26,,Yes,No,Sanctuary Zone
CNB3_5,-33.5201,115.0086,20070301,11:47:00,Ngari Capes,No-take,CNB3,27,,Yes,No,Sanctuary Zone
CNB4_1,-33.5221,114.9987,20070301,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB4_2,-33.5231,114.9955,20070301,15:40:00,Ngari Capes,No-take,CNB4,32,,Yes,No,Sanctuary Zone
CNB4_3,-33.5214,114.9932,20070301,14:23:00,Ngari Capes,No-take,CNB4,30,,Yes,No,Sanctuary Zone
CNB4_4,-33.5242,114.9977,20070301,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB4_5,-33.5208,114.9958,20070301,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB5_1,-33.5345,114.9964,20070301,0:00:00,Ngari Capes,No-take,CNB5,30,,Yes,Yes,Sanctuary Zone
CNB5_2,-33.5351,114.9935,20070301,8:57:00,Ngari Capes,No-take,CNB5,28,,Yes,No,Sanctuary Zone
CNB5_3,-33.5369,114.9964,20070301,0:00:00,Ngari Capes,No-take,CNB5,28,,Yes,Yes,Sanctuary Zone
CNB5_4,-33.5352,114.9989,20070301,9:48:00,Ngari Capes,No-take,CNB5,30,,Yes,No,Sanctuary Zone
CNB5_5,-33.5323,114.9969,20070301,8:38:00,Ngari Capes,No-take,CNB5,28,,Yes,No,Sanctuary Zone
INB3_1,-33.683,114.9766,20070301,0:00:00,Ngari Capes,No-take,INB3,31,,Yes,Yes,Sanctuary Zone
INB3_2,-33.681,114.9779,20070301,11:25:00,Ngari Capes,No-take,INB3,29,,Yes,No,Sanctuary Zone
INB3_3,-33.6806,114.9743,20070301,0:00:00,Ngari Capes,No-take,INB3,30,,Yes,Yes,Sanctuary Zone
INB3_4,-33.6828,114.9734,20070301,0:00:00,Ngari Capes,No-take,INB3,32,,Yes,Yes,Sanctuary Zone
INB3_5,-33.6838,114.9792,20070301,0:00:00,Ngari Capes,No-take,INB3,29,,Yes,Yes,Sanctuary Zone
INB4_1,-33.6903,114.9763,20070301,13:11:00,Ngari Capes,No-take,INB4,34,,Yes,No,Sanctuary Zone
INB4_2,-33.6888,114.9716,20070301,14:24:00,Ngari Capes,No-take,INB4,37,,Yes,No,Sanctuary Zone
INB4_3,-33.6906,114.9812,20070301,11:31:00,Ngari Capes,No-take,INB4,31,,Yes,No,Sanctuary Zone
