Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CNB1_1,-33.5198,115.023,20060301,0:00:00,Ngari Capes,Fished,CNB1,0,,Yes,Yes,General Use
CNB1_2,-33.5219,115.0237,20060301,0:00:00,Ngari Capes,Fished,CNB1,0,,Yes,Yes,General Use
CNB1_3,-33.5188,115.0253,20060301,0:00:00,Ngari Capes,Fished,CNB1,0,,Yes,Yes,General Use
CNB1_4,-33.5174,115.0232,20060301,0:00:00,Ngari Capes,Fished,CNB1,0,,Yes,Yes,General Use
CNB1_5,-33.5214,115.0263,20060301,0:00:00,Ngari Capes,Fished,CNB1,0,,Yes,Yes,General Use
CNB2_1,-33.52,115.0172,20060301,0:00:00,Ngari Capes,Fished,CNB2,0,,Yes,Yes,General Use
CNB2_2,-33.5154,115.0165,20060301,0:00:00,Ngari Capes,Fished,CNB2,0,,Yes,Yes,General Use
CNB2_3,-33.5185,115.0151,20060301,0:00:00,Ngari Capes,Fished,CNB2,0,,Yes,Yes,General Use
CNB2_4,-33.5183,115.018,20060301,0:00:00,Ngari Capes,Fished,CNB2,0,,Yes,Yes,General Use
CNB2_5,-33.517,115.0165,20060301,0:00:00,Ngari Capes,Fished,CNB2,0,,Yes,Yes,General Use
CNB6_1,-33.5481,114.9986,20060301,0:00:00,Ngari Capes,Fished,CNB6,0,,Yes,Yes,General Use
CNB6_2,-33.5459,114.9983,20060301,0:00:00,Ngari Capes,Fished,CNB6,0,,Yes,Yes,General Use
CNB6_3,-33.5451,114.9959,20060301,0:00:00,Ngari Capes,Fished,CNB6,0,,Yes,Yes,General Use
CNB6_4,-33.5453,115.0005,20060301,0:00:00,Ngari Capes,Fished,CNB6,0,,Yes,Yes,General Use
CNB6_5,-33.5435,114.9984,20060301,0:00:00,Ngari Capes,Fished,CNB6,0,,Yes,Yes,General Use
CNB7_1,-33.5539,114.9992,20060301,0:00:00,Ngari Capes,Fished,CNB7,0,,Yes,Yes,General Use
CNB7_2,-33.5547,114.9971,20060301,0:00:00,Ngari Capes,Fished,CNB7,0,,Yes,Yes,General Use
CNB7_3,-33.5561,114.9994,20060301,0:00:00,Ngari Capes,Fished,CNB7,0,,Yes,Yes,General Use
CNB7_4,-33.5537,115.0014,20060301,0:00:00,Ngari Capes,Fished,CNB7,0,,Yes,Yes,General Use
CNB7_5,-33.5523,114.9988,20060301,0:00:00,Ngari Capes,Fished,CNB7,0,,Yes,Yes,General Use
INB1_3,-33.6642,114.9883,20060301,0:00:00,Ngari Capes,Fished,INB1,0,,Yes,Yes,General Use
INB2_1,-33.6696,114.9817,20060301,0:00:00,Ngari Capes,Fished,INB2,0,,Yes,Yes,General Use
INB2_2,-33.6713,114.9816,20060301,0:00:00,Ngari Capes,Fished,INB2,0,,Yes,Yes,General Use
INB2_3,-33.6703,114.9843,20060301,0:00:00,Ngari Capes,Fished,INB2,0,,Yes,Yes,General Use
INB2_4,-33.6726,114.9851,20060301,0:00:00,Ngari Capes,Fished,INB2,0,,Yes,Yes,General Use
INB2_5,-33.6686,114.9857,20060301,0:00:00,Ngari Capes,Fished,INB2,0,,Yes,Yes,General Use
INB6_1,-33.7109,114.9604,20060301,0:00:00,Ngari Capes,Fished,INB6,0,,Yes,Yes,General Use
INB6_2,-33.7118,114.9576,20060301,0:00:00,Ngari Capes,Fished,INB6,0,,Yes,Yes,General Use
INB6_3,-33.7132,114.9607,20060301,0:00:00,Ngari Capes,Fished,INB6,0,,Yes,Yes,General Use
INB6_4,-33.7089,114.9589,20060301,0:00:00,Ngari Capes,Fished,INB6,0,,Yes,Yes,General Use
INB6_5,-33.7118,114.9628,20060301,0:00:00,Ngari Capes,Fished,INB6,0,,Yes,Yes,General Use
INB7_2,-33.7234,114.9739,20060301,0:00:00,Ngari Capes,Fished,INB7,0,,Yes,Yes,General Use
INB7_3,-33.7205,114.9711,20060301,0:00:00,Ngari Capes,Fished,INB7,0,,Yes,Yes,General Use
INB7_5,-33.7184,114.9703,20060301,0:00:00,Ngari Capes,Fished,INB7,0,,Yes,Yes,General Use
CNB3_1,-33.5183,115.0066,20060301,0:00:00,Ngari Capes,No-take,CNB3,0,,Yes,Yes,Sanctuary Zone
CNB3_2,-33.5206,115.0056,20060301,0:00:00,Ngari Capes,No-take,CNB3,0,,Yes,Yes,Sanctuary Zone
CNB3_3,-33.5224,115.007,20060301,0:00:00,Ngari Capes,No-take,CNB3,0,,Yes,Yes,Sanctuary Zone
CNB3_4,-33.5222,115.01,20060301,0:00:00,Ngari Capes,No-take,CNB3,0,,Yes,Yes,Sanctuary Zone
CNB3_5,-33.5201,115.0086,20060301,0:00:00,Ngari Capes,No-take,CNB3,0,,Yes,Yes,Sanctuary Zone
CNB4_1,-33.5221,114.9987,20060301,0:00:00,Ngari Capes,No-take,CNB4,0,,Yes,Yes,Sanctuary Zone
CNB4_2,-33.5231,114.9955,20060301,0:00:00,Ngari Capes,No-take,CNB4,0,,Yes,Yes,Sanctuary Zone
CNB4_3,-33.5214,114.9932,20060301,0:00:00,Ngari Capes,No-take,CNB4,0,,Yes,Yes,Sanctuary Zone
CNB4_4,-33.5242,114.9977,20060301,0:00:00,Ngari Capes,No-take,CNB4,0,,Yes,Yes,Sanctuary Zone
CNB4_5,-33.5208,114.9958,20060301,0:00:00,Ngari Capes,No-take,CNB4,0,,Yes,Yes,Sanctuary Zone
CNB5_1,-33.5345,114.9964,20060301,0:00:00,Ngari Capes,No-take,CNB5,0,,Yes,Yes,Sanctuary Zone
CNB5_2,-33.5351,114.9935,20060301,0:00:00,Ngari Capes,No-take,CNB5,0,,Yes,Yes,Sanctuary Zone
