Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,DBCA_Zone,DBCA_Sanctuary
NMP_20190809_PF-43_BRUV,-23.4593,113.7392,20190809,12:36:00,Ningaloo,Fished,PF-43,44,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-44_BRUV,-23.4699,113.7285,20190809,12:44:00,Ningaloo,Fished,PF-44,44,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-45_BRUV,-23.4822,113.7185,20190809,12:52:00,Ningaloo,Fished,PF-45,44,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-46_BRUV,-23.4944,113.7099,20190809,12:59:00,Ningaloo,Fished,PF-46,46,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-47_BRUV,-23.5051,113.6971,20190809,13:06:00,Ningaloo,Fished,PF-47,46,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-48_BRUV,-23.512,113.69,20190809,13:13:00,Ningaloo,Fished,PF-48,47,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190809_PF-49_BRUV,-23.5203,113.6893,20190809,13:18:00,Ningaloo,Fished,PF-49,42,Brae Price,Yes,No,General Use,Pelican
NMP_20190809_PF-50_BRUV,-23.5287,113.6762,20190809,13:25:00,Ningaloo,Fished,PF-50,46,Brae Price,Yes,Yes,General Use,Pelican
NMP_20190810_CF-16_BRUV,-23.0547,113.7164,20190810,8:00:00,Ningaloo,Fished,CF-16,46,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-17_BRUV,-23.0466,113.7164,20190810,8:06:00,Ningaloo,Fished,CF-17,40,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-18_BRUV,-23.0383,113.7172,20190810,8:11:00,Ningaloo,Fished,CF-18,36,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-19_BRUV,-23.0268,113.7167,20190810,8:17:00,Ningaloo,Fished,CF-19,50,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-20_BRUV,-23.0169,113.7144,20190810,8:24:00,Ningaloo,Fished,CF-20,47,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-21_BRUV,-23.0064,113.7163,20190810,8:31:00,Ningaloo,Fished,CF-21,45,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-22_BRUV,-22.9943,113.7219,20190810,8:37:00,Ningaloo,Fished,CF-22,52,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-23_BRUV,-22.9815,113.7261,20190810,8:44:00,Ningaloo,Fished,CF-23,53,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-24_BRUV,-22.9713,113.7276,20190810,8:50:00,Ningaloo,Fished,CF-24,43,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-25_BRUV,-22.963,113.7279,20190810,8:58:00,Ningaloo,Fished,CF-25,35,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-26_BRUV,-22.9511,113.7238,20190810,10:52:00,Ningaloo,Fished,CF-26,36,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-27_BRUV,-22.9429,113.7243,20190810,10:56:00,Ningaloo,Fished,CF-27,44,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-28_BRUV,-22.9358,113.7291,20190810,11:01:00,Ningaloo,Fished,CF-28,45,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-29_BRUV,-22.9256,113.7305,20190810,11:05:00,Ningaloo,Fished,CF-29,45,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CF-30_BRUV,-22.9138,113.7318,20190810,11:10:00,Ningaloo,Fished,CF-30,47,Sasha Ayton,Yes,Yes,General Use,Cloates
NMP_20190810_CS-31_BRUV,-22.9057,113.7306,20190810,11:16:00,Ningaloo,Sanctuary,CS-31,42,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-32_BRUV,-22.898,113.7266,20190810,11:20:00,Ningaloo,Sanctuary,CS-32,39,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-33_BRUV,-22.8894,113.7233,20190810,11:24:00,Ningaloo,Sanctuary,CS-33,37,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-34_BRUV,-22.8867,113.7199,20190810,11:28:00,Ningaloo,Sanctuary,CS-34,30,Sasha Ayton,Yes,No,Sanctuary,Cloates
NMP_20190810_CS-35_BRUV,-22.8821,113.7112,20190810,11:34:00,Ningaloo,Sanctuary,CS-35,44,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-36_BRUV,-22.8731,113.7051,20190810,13:00:00,Ningaloo,Sanctuary,CS-36,40,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-37_BRUV,-22.8614,113.7007,20190810,13:05:00,Ningaloo,Sanctuary,CS-37,46,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-38_BRUV,-22.8529,113.6962,20190810,13:10:00,Ningaloo,Sanctuary,CS-38,45,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-39_BRUV,-22.8502,113.6931,20190810,13:13:00,Ningaloo,Sanctuary,CS-39,50,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-40_BRUV,-22.8392,113.6833,20190810,13:19:00,Ningaloo,Sanctuary,CS-40,40,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-41_BRUV,-22.8308,113.6779,20190810,13:25:00,Ningaloo,Sanctuary,CS-41,44,Sasha Ayton,Yes,No,Sanctuary,Cloates
NMP_20190810_CS-42_BRUV,-22.82,113.6715,20190810,13:31:00,Ningaloo,Sanctuary,CS-42,48,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-43_BRUV,-22.81,113.6648,20190810,13:36:00,Ningaloo,Sanctuary,CS-43,45,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-44_BRUV,-22.8007,113.6592,20190810,13:41:00,Ningaloo,Sanctuary,CS-44,44,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
NMP_20190810_CS-45_BRUV,-22.7917,113.655,20190810,13:45:00,Ningaloo,Sanctuary,CS-45,47,Sasha Ayton,Yes,Yes,Sanctuary,Cloates
