OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
NCB1200	0	0	0.00000	0	NCB1200_L441.avi	140671	29.97000
NCB1200	1	0	0.00000	0	NCB1200_R442.avi	140671	29.97000
NCB1210	0	0	0.00000	0	NCB1210_L377.avi	102883	25.00000
NCB1210	1	0	0.00000	0	NCB1210_R378.avi	102883	25.00000
NCB1184	0	0	0.00000	0	NCB1184_L371.avi	102823	25.00000
NCB1184	1	0	0.00000	0	NCB1184_R372.avi	102823	25.00000
NCB1050	0	0	0.00000	0	NCB1050_L371.avi	131004	25.00000
NCB1050	1	0	0.00000	0	NCB1050_R372.avi	131076	25.00000
NCB1140	0	0	0.00000	0	NCB1140_L439.avi	117277	29.97000
NCB1140	1	0	0.00000	0	NCB1140_R440.avi	116875	29.97000
NCB1190	0	0	0.00000	0	NCB1190_L377.avi	101191	25.00000
NCB1190	1	0	0.00000	0	NCB1190_R378.avi	100819	25.00000
NCB1189	0	0	0.00000	0	NCB1189_L422.avi	120017	29.97000
NCB1189	1	0	0.00000	0	NCB1189_R423.avi	120233	29.97000
NCB1137	0	0	0.00000	0	NCB1137_L441.avi	124039	29.97000
NCB1137	1	0	0.00000	0	NCB1137_R442.avi	124444	29.97000
NCB1179	0	0	0.00000	0	NCB1179_L422.avi	143105	29.97000
NCB1179	1	0	0.00000	0	NCB1179_R423.avi	143105	29.97000
NCB1226	0	0	0.00000	0	NCB1226_L367.avi	102919	25.00000
NCB1226	1	0	0.00000	0	NCB1226_R368.avi	102907	25.00000
NCB1226	1	0	0.00000	0	NCB1226_L367.avi	102919	25.00000
NCB1142	0	0	0.00000	0	NCB1142_L439.avi	140671	29.97000
NCB1142	1	0	0.00000	0	NCB1142_R440.avi	140671	29.97000
NCB1183	0	0	0.00000	0	NCB1183_L375.avi	102835	25.00000
NCB1183	1	0	0.00000	0	NCB1183_R376.avi	102835	25.00000
NCB1055	0	0	0.00000	0	NCB1055_R442.avi	183029	29.97000
NCB1220	0	0	0.00000	0	NCB1220_L367.avi	102811	25.00000
NCB1220	1	0	0.00000	0	NCB1220_R368.avi	102823	25.00000
NCB1139	0	0	0.00000	0	NCB1139_L427.avi	118020	29.97000
NCB1139	1	0	0.00000	0	NCB1139_R428.avi	117695	29.97000
