Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Successful.count,Successful.length,Observer,Observer.length,DBCA_Zone,DBCA_Sanctuary
GUZGHS2-1,-30.1073,114.9657,20210428,9:32:00,Jurien Bay,Fished,NA,6.1,Yes,Yes,Ethan,MTaylor,General Use,Fisherman Islands
GUZGHS2-2,-30.1066,114.9663,20210428,9:44:00,Jurien Bay,Fished,NA,5.4,No,No,NA,NA,General Use,Fisherman Islands
GUZGHS2-3,-30.1053,114.9669,20210428,9:52:00,Jurien Bay,Fished,NA,5,No,No,NA,NA,General Use,Fisherman Islands
GUZGHS2-4,-30.1039,114.9671,20210428,9:57:00,Jurien Bay,Fished,NA,4.5,Yes,Yes,Ethan,Mike Taylor,General Use,Fisherman Islands
GUZGHS3-1,-30.1178,114.9524,20210428,10:13:00,Jurien Bay,Fished,NA,7.6,Yes,Yes,Sarah,Mike Taylor,General Use,Fisherman Islands
GUZGHS3-2,-30.1205,114.9537,20210428,10:20:00,Jurien Bay,Fished,NA,3.6,Yes,Yes,Sarah,Mike Taylor,General Use,Fisherman Islands
GUZGHS3-3,-30.1234,114.9535,20210428,10:25:00,Jurien Bay,Fished,NA,4.6,Yes,Yes,Ethan,Mike Taylor,General Use,Fisherman Islands
GUZGHS3-4,-30.1234,114.9499,20210428,10:30:00,Jurien Bay,Fished,NA,4.6,Yes,Yes,Ethan,Mike Taylor,General Use,Fisherman Islands
HRSPZS2-1,-30.4393,115.0357,20210502,9:13:46,Jurien Bay,No-take,NA,4.2,Yes,Yes,Katrina Bornt,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS2-2,-30.4398,115.0337,20210502,9:18:26,Jurien Bay,No-take,NA,6.6,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS2-3,-30.4376,115.0357,20210502,9:23:01,Jurien Bay,No-take,NA,5.3,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS2-4,-30.435,115.0359,20210502,9:27:17,Jurien Bay,No-take,NA,4.9,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS3-1,-30.4358,115.0006,20210504,9:16:47,Jurien Bay,No-take,NA,6.5,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS3-2,-30.4424,114.9987,20210504,9:25:19,Jurien Bay,No-take,NA,5.3,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS3-3,-30.445,114.9984,20210504,9:29:30,Jurien Bay,No-take,NA,6.4,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS3-4,-30.4395,114.9995,20210504,9:42:06,Jurien Bay,No-take,NA,6.9,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS4-1,-30.4209,115.0019,20210504,7:52:40,Jurien Bay,No-take,NA,4.1,Yes,Yes,Katrina Bornt,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS4-2,-30.4248,115.0028,20210504,7:57:17,Jurien Bay,No-take,NA,4.9,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS4-3,-30.4278,115.0032,20210504,8:01:16,Jurien Bay,No-take,NA,6.8,Yes,Yes,Brae,Mike Taylor,SP Scientific Reference,Hill River
HRSPZS4-4,-30.4298,115.0029,20210504,8:05:15,Jurien Bay,No-take,NA,4.9,Yes,Yes,Brae,Daisy Church,SP Scientific Reference,Hill River
JC21_JOOR21_1,-30.2917,114.973,20210504,11:50:02,Jurien Bay,Fished,NA,6.9,Yes,Yes,Brae,Chris Douglas,General Use,Fisherman Islands
JC21_JOOR21-2,-30.2901,114.9725,20210504,11:55:20,Jurien Bay,Fished,NA,5.2,Yes,Yes,Brae,Chris Douglas,General Use,Fisherman Islands
JC21_JOOR21-3,-30.2887,114.9727,20210504,12:00:34,Jurien Bay,Fished,NA,8,Yes,Yes,Brae,Daisy Church,General Use,Fisherman Islands
JC21_JOOR21-4,-30.289,114.9739,20210504,12:07:54,Jurien Bay,Fished,NA,4.3,Yes,Yes,Brae,Daisy Church,General Use,Fisherman Islands
JMPS5-1,-30.329,114.992,20210502,12:50:51,Jurien Bay,Fished,NA,4.7,Yes,Yes,Ethan,Mike Taylor,General Use,Hill River
JMPS5-2,-30.3274,114.9902,20210502,12:55:20,Jurien Bay,Fished,NA,4.6,Yes,No,Katrina Bornt,NA,General Use,Hill River
JMPS5-3,-30.329,114.9896,20210502,12:59:02,Jurien Bay,Fished,NA,4.6,Yes,Yes,Ethan,Mike Taylor,General Use,Hill River
JMPS5-4,-30.3294,114.988,20210502,13:02:39,Jurien Bay,Fished,NA,5.8,Yes,Yes,Ethan,Mike Taylor,General Use,Hill River
JV013-1,-30.3906,114.9949,20210501,12:32:37,Jurien Bay,Fished,NA,6,Yes,Yes,Katrina Bornt,Mike Taylor,General Use,Hill River
JV013-2,-30.3945,114.9946,20210501,12:37:22,Jurien Bay,Fished,NA,3.5,Yes,Yes,Katrina Bornt,Mike Taylor,General Use,Hill River
JV013-3,-30.3985,114.9949,20210501,12:46:16,Jurien Bay,Fished,NA,6,Yes,Yes,Katrina Bornt,Mike Taylor,General Use,Hill River
JV013-4,-30.3988,114.9983,20210501,12:50:46,Jurien Bay,Fished,NA,5.5,Yes,Yes,Katrina Bornt,Mike Taylor,General Use,Hill River
PHSZS1-1,-30.2388,115.0235,20210429,9:03:51,Jurien Bay,No-take,NA,3.5,No,No,NA,NA,Sanctuary,Pumpkin Hollow
PHSZS1-2,-30.2369,115.0232,20210429,9:10:30,Jurien Bay,No-take,NA,2.5,No,No,NA,NA,Sanctuary,Pumpkin Hollow
PHSZS1-3,-30.2355,115.0192,20210429,9:18:03,Jurien Bay,No-take,NA,0.6,No,No,NA,NA,Sanctuary,Pumpkin Hollow
PHSZS1-4,-30.2398,115.0226,20210429,9:27:55,Jurien Bay,No-take,NA,2.7,Yes,No,Damon Driessen,NA,Sanctuary,Pumpkin Hollow
