Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,Zone
SBY_20100620_SB205_DOV_1,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100620_SB205_DOV_2,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100620_SB205_DOV_3,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100620_SB205_DOV_4,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100620_SB205_DOV_5,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100620_SB205_DOV_6,-24.75556,113.16253,20100620,12:01:00,Shark Bay,Fished,SB205,Yes,Yes,4,Ryan,50,Outside
SBY_20100621_SB214_DOV_1,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100621_SB214_DOV_2,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100621_SB214_DOV_3,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100621_SB214_DOV_4,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100621_SB214_DOV_5,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100621_SB214_DOV_6,-24.79543,113.1688,20100621,12:01:00,Shark Bay,Fished,SB214,Yes,Yes,4,Rhiana,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_1,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_2,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_3,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_4,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_5,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB204_CLEFTROCK_DOV_LEFT110_6,-24.80628,113.16649,20100622,12:01:00,Shark Bay,Fished,SB204,Yes,Yes,4,George,50,Outside
SBY_20100622_SB213_DOV_1,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100622_SB213_DOV_2,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100622_SB213_DOV_3,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100622_SB213_DOV_4,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100622_SB213_DOV_5,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100622_SB213_DOV_6,-24.93167,113.15264,20100622,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Ryan,50,Outside
SBY_20100623_SB120_DOV_1,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
SBY_20100623_SB120_DOV_2,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
SBY_20100623_SB120_DOV_3,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
SBY_20100623_SB120_DOV_4,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
SBY_20100623_SB120_DOV_5,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
SBY_20100623_SB120_DOV_6,-25.54526,113.5293,20100623,12:01:00,Shark Bay,Fished,SB120,Yes,Yes,4,Ryan,50,General Use
