OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
SBMP_20200317_SB204_DOV	1.09	2022 11 21 14:46:17	G:\DOVs\	SB204.EMObs
SBMP_20200318_SB202_DOV	1.09	2022 11 21 14:46:17	G:\DOVs\	SB202.EMObs
SBMP_20200318_SBTurtle_DOV	1.09	2022 11 21 14:46:17	G:\DOVs\	SBTurtle.EMObs
SBMP_20200319_SBSPT_DOV	1.09	2022 11 21 14:46:17	G:\DOVs\	SBSPT.EMObs
SBMP_20200319_SBEgg_DOV	1.09	2022 11 21 14:46:17	D:\DOVs\	SBEgg.EMObs
SBMP_20200320_SBShelter_DOV	1.09	2022 11 21 14:46:17	D:\DOVs\	SBShelter.EMObs
SBMP_20200320_SBHSTD_DOV	1.09	2022 11 21 14:46:17	D:\DOVs\	SBHSTD.EMObs
SBMP_20200324_SBBFlat_DOV	1.09	2022 11 21 14:46:17	G:\DOVs\	SBBFlat.EMObs
