Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,Zone
SBY_20110622_SB_DOV_1,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110622_SB_DOV_2,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110622_SB_DOV_3,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110622_SB_DOV_4,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110622_SB_DOV_5,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110622_SB_DOV_6,-26.15306,113.17542,20110622,12:01:00,Shark Bay,Fished,SBShelter,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_1,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_2,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_3,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_4,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_5,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_BF_DOV_6,-25.85155,113.34877,20110623,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Ryan,50,General Use
SBY_20110623_SP2_DOV_1,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
SBY_20110623_SP2_DOV_2,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
SBY_20110623_SP2_DOV_3,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
SBY_20110623_SP2_DOV_4,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
SBY_20110623_SP2_DOV_5,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
SBY_20110623_SP2_DOV_6,-25.72378,113.09111,20110623,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Ryan,50,Sanctuary
