Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,Zone
SBMP_FishSBBFlat_20150311_5,-25.85155,113.34877,20150311,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSBBFlat_20150311_6,-25.85155,113.34877,20150311,12:01:00,Shark Bay,Fished,SBBFlat,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSPT_20150310_1,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSPT_20150310_2,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSPT_20150310_3,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSPT_20150310_4,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSPT_20150310_5,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSPT_20150310_6,-25.72378,113.09111,20150310,12:01:00,Shark Bay,No-Take,SBSPT,Yes,Yes,4,Nicole Ryan,50,Sanctuary
SBMP_FishSunday_20150312_1,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSunday_20150312_2,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSunday_20150312_3,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSunday_20150312_4,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSunday_20150312_5,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishSunday_20150312_6,-26.12052,113.23607,20150312,12:01:00,Shark Bay,Fished,SBSunday,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishTurtle_20150310_1,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
