Sample,Family,Genus,Species,Count
JBMP35-4,Labridae,Thalassoma,septemfasciatum,1
JBMP35-4,Pomacentridae,Pomacentrus,milleri,2
JBMP35-4,Labridae,Halichoeres,brownfieldi,1
JBMP24-1,Labridae,Coris,auricularis,30
JBMP24-1,Kyphosidae,Kyphosus,cornelii,3
JBMP24-1,Pomacentridae,Pomacentrus,milleri,5
JBMP24-1,Latidae,Psammoperca,waigiensis,1
JBMP24-1,Kyphosidae,Kyphosus,sydneyanus,17
JBMP24-1,Pomacentridae,Parma,occidentalis,2
JBMP24-1,Labridae,Notolabrus,parilus,2
JBMP24-1,Pseudochromidae,Labracinus,lineatus,1
JBMP24-1,Pomacentridae,Parma,mccullochi,1
JBMP24-1,Labridae,Choerodon,rubescens,1
JBMP24-2,Labridae,Coris,auricularis,35
JBMP24-2,Pomacentridae,Pomacentrus,milleri,4
JBMP24-2,Pomacentridae,Parma,occidentalis,4
JBMP24-2,Labridae,Notolabrus,parilus,2
JBMP24-2,Labridae,Bodianus,frenchii,1
JBMP24-2,Labridae,Halichoeres,brownfieldi,1
JBMP24-2,Labridae,Thalassoma,lutescens,1
JBMP24-2,Cheilodactylidae,Cheilodactylus,rubrolabiatus,1
JBMP24-2,Enoplosidae,Enoplosus,armatus,2
JBMP24-2,Nemipteridae,Pentapodus,vitta,1
JBMP24-3,Nemipteridae,Pentapodus,vitta,1
JBMP24-3,Labridae,Coris,auricularis,41
JBMP24-3,Labridae,Halichoeres,brownfieldi,1
JBMP24-3,Labridae,Notolabrus,parilus,2
JBMP24-3,Scorpididae,Neatypus,obliquus,1
JBMP24-3,Labridae,Austrolabrus,maculatus,1
JBMP24-3,Pomacentridae,Pomacentrus,milleri,9
JBMP24-3,Serranidae,Epinephelides,armatus,1
JBMP24-3,Chaetodontidae,Chaetodon,assarius,2
JBMP24-3,Pseudochromidae,Labracinus,lineatus,1
JBMP24-3,Kyphosidae,Kyphosus,cornelii,6
JBMP24-4,Nemipteridae,Pentapodus,vitta,1
JBMP24-4,Labridae,Coris,auricularis,21
JBMP24-4,Labridae,Notolabrus,parilus,3
JBMP24-4,Scorpididae,Neatypus,obliquus,8
JBMP24-4,Labridae,Austrolabrus,maculatus,1
JBMP24-4,Pomacentridae,Parma,occidentalis,2
JBMP24-4,Mullidae,Parupeneus,spilurus,1
JBMP24-4,Urolophidae,Trygonoptera,ovalis,1
JBMP24-4,Labridae,Choerodon,rubescens,2
JBMP24-4,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP3-1,Labridae,Austrolabrus,maculatus,2
JBMP3-1,Mullidae,Parupeneus,spilurus,2
JBMP3-1,Labridae,Coris,auricularis,89
JBMP3-1,Labridae,Thalassoma,lutescens,3
JBMP3-1,Pomacentridae,Pomacentrus,milleri,4
JBMP3-1,Labridae,Notolabrus,parilus,2
JBMP3-1,Pomacentridae,Parma,mccullochi,4
JBMP3-1,Kyphosidae,Kyphosus,cornelii,6
JBMP3-1,Labridae,Pseudolabrus,biserialis,1
JBMP3-1,Labridae,Thalassoma,septemfasciatum,1
JBMP3-1,Pempherididae,Pempheris,klunzingeri,1
JBMP3-2,Labridae,Austrolabrus,maculatus,2
JBMP3-2,Labridae,Coris,auricularis,101
JBMP3-2,Labridae,Thalassoma,lutescens,3
JBMP3-2,Pomacentridae,Pomacentrus,milleri,2
JBMP3-2,Labridae,Notolabrus,parilus,3
JBMP3-2,Pomacentridae,Parma,mccullochi,7
JBMP3-2,Kyphosidae,Kyphosus,cornelii,2
JBMP3-2,Labridae,Pseudolabrus,biserialis,2
JBMP3-2,Labridae,Thalassoma,septemfasciatum,1
JBMP3-2,Labridae,Anampses,geographicus,3
JBMP3-2,Blenniidae,Cirripectes,hutchinsi,1
JBMP3-2,Pseudochromidae,Labracinus,lineatus,1
JBMP3-2,Tripterygiidae,Helcogramma,decurrens,1
JBMP3-3,Pomacentridae,Parma,mccullochi,7
JBMP3-3,Mullidae,Parupeneus,spilurus,2
JBMP3-3,Labridae,Coris,auricularis,70
JBMP3-3,Labridae,Notolabrus,parilus,1
JBMP3-3,Labridae,Thalassoma,lutescens,4
JBMP3-3,Labridae,Coris,auricularis,1
JBMP3-4,Pomacentridae,Parma,mccullochi,3
JBMP3-4,Labridae,Coris,auricularis,20
JBMP3-4,Kyphosidae,Kyphosus,cornelii,20
JBMP3-4,Kyphosidae,Kyphosus,sydneyanus,2
JBMP3-4,Scorpididae,Scorpis,georgiana,1
JBMP25-1,Labridae,Coris,auricularis,49
JBMP25-1,Pomacentridae,Pomacentrus,milleri,9
JBMP25-1,Kyphosidae,Kyphosus,cornelii,20
JBMP25-1,Labridae,Thalassoma,lutescens,2
JBMP25-1,Labridae,Choerodon,rubescens,3
JBMP25-1,Pomacentridae,Parma,occidentalis,2
JBMP25-1,Serranidae,Epinephelides,armatus,1
JBMP25-1,Labridae,Thalassoma,lunare,3
JBMP25-1,Labridae,Notolabrus,parilus,2
JBMP25-1,Labridae,Stethojulis,bandanensis,1
JBMP25-1,Urolophidae,Trygonoptera,ovalis,1
JBMP25-1,Labridae,Thalassoma,septemfasciatum,2
JBMP25-1,Chaetodontidae,Chelmonops,curiosus,1
JBMP25-1,Mullidae,Parupeneus,spilurus,2
JBMP25-2,Labridae,Coris,auricularis,164
JBMP25-2,Pomacentridae,Pomacentrus,milleri,56
JBMP25-2,Labridae,Thalassoma,lutescens,2
JBMP25-2,Labridae,Choerodon,rubescens,3
JBMP25-2,Pomacentridae,Parma,occidentalis,1
JBMP25-2,Serranidae,Epinephelides,armatus,2
JBMP25-2,Labridae,Thalassoma,lunare,3
JBMP25-2,Labridae,Notolabrus,parilus,3
JBMP25-2,Labridae,Stethojulis,bandanensis,1
JBMP25-2,Chaetodontidae,Chelmonops,curiosus,1
JBMP25-2,Labridae,Anampses,geographicus,1
JBMP25-2,Mullidae,Parupeneus,spilurus,1
JBMP25-2,Haemulidae,Plectorhinchus,flavomaculatus,4
JBMP25-2,Pinguipedidae,Parapercis,haackei,1
JBMP25-2,Scorpididae,Neatypus,obliquus,1
JBMP25-2,Blenniidae,Cirripectes,hutchinsi,1
JBMP25-2,Odacidae,Olisthops,cyanomelas,1
JBMP25-2,Pomacentridae,Stegastes,obreptus,1
JBMP25-3,Labridae,Choerodon,rubescens,1
JBMP25-3,Labridae,Coris,auricularis,97
JBMP25-3,Pomacentridae,Stegastes,obreptus,1
JBMP25-3,Labridae,Thalassoma,septemfasciatum,1
JBMP25-3,Kyphosidae,Kyphosus,cornelii,40
JBMP25-3,Labridae,Thalassoma,lunare,2
JBMP25-3,Chaetodontidae,Chelmonops,curiosus,1
JBMP25-3,Pomacentridae,Pomacentrus,milleri,4
JBMP25-3,Mullidae,Parupeneus,spilurus,1
JBMP25-3,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP25-3,Scorpididae,Neatypus,obliquus,2
JBMP25-3,Pomacentridae,Parma,mccullochi,1
JBMP25-4,Labridae,Choerodon,rubescens,5
JBMP25-4,Labridae,Coris,auricularis,112
JBMP25-4,Labridae,Thalassoma,septemfasciatum,1
JBMP25-4,Kyphosidae,Kyphosus,cornelii,30
JBMP25-4,Labridae,Thalassoma,lunare,3
JBMP25-4,Chaetodontidae,Chelmonops,curiosus,3
JBMP25-4,Pomacentridae,Pomacentrus,milleri,19
JBMP25-4,Mullidae,Parupeneus,spilurus,4
JBMP25-4,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP25-4,Mullidae,Upeneichthys,vlamingii,1
JBMP25-4,Labridae,Halichoeres,brownfieldi,1
JBMP25-4,Labridae,Notolabrus,parilus,2
JBMP25-4,Pomacentridae,Abudefduf,bengalensis,2
JBMP25-4,Labridae,Chlorurus,sordidus,2
JBMP14-1,Labridae,Choerodon,rubescens,3
JBMP14-1,Labridae,Coris,auricularis,67
JBMP14-1,Chaetodontidae,Chaetodon,assarius,2
JBMP14-1,Labridae,Notolabrus,parilus,3
JBMP14-1,Pomacentridae,Parma,occidentalis,1
JBMP14-1,Kyphosidae,Kyphosus,cornelii,2
JBMP14-2,Labridae,Choerodon,rubescens,4
JBMP14-2,Labridae,Coris,auricularis,27
JBMP14-2,Chaetodontidae,Chaetodon,assarius,3
JBMP14-2,Labridae,Notolabrus,parilus,3
JBMP14-2,Pomacentridae,Parma,occidentalis,1
JBMP14-2,Kyphosidae,Kyphosus,cornelii,3
JBMP14-2,Haemulidae,Plectorhinchus,flavomaculatus,2
JBMP14-2,Mullidae,Parupeneus,spilurus,3
JBMP14-2,Pomacentridae,Pomacentrus,milleri,2
JBMP14-2,Labridae,Austrolabrus,maculatus,1
JBMP14-2,Labridae,Thalassoma,septemfasciatum,1
JBMP14-2,Scorpididae,Neatypus,obliquus,3
JBMP14-2,Pomacentridae,Parma,mccullochi,1
JBMP14-3,Labridae,Notolabrus,parilus,3
JBMP14-3,Labridae,Coris,auricularis,24
JBMP14-3,Kyphosidae,Kyphosus,cornelii,1
JBMP14-3,Labridae,Choerodon,rubescens,2
JBMP14-3,Mullidae,Parupeneus,spilurus,2
JBMP14-3,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP14-4,Labridae,Notolabrus,parilus,6
JBMP14-4,Labridae,Coris,auricularis,66
JBMP14-4,Labridae,Choerodon,rubescens,1
JBMP14-4,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP14-4,Labridae,Halichoeres,brownfieldi,1
JBMP14-4,Chaetodontidae,Chaetodon,assarius,1
JBMP14-4,Kyphosidae,Kyphosus,sydneyanus,1
JBMP14-4,Pomacentridae,Parma,occidentalis,1
JBMP36-1,Labridae,Coris,auricularis,97
JBMP36-1,Labridae,Choerodon,rubescens,5
JBMP36-1,Haemulidae,Plectorhinchus,flavomaculatus,5
JBMP36-1,Chaetodontidae,Chaetodon,assarius,5
JBMP36-1,Labridae,Bodianus,frenchii,2
JBMP36-1,Pomacentridae,Pomacentrus,milleri,105
JBMP36-1,Chaetodontidae,Chelmonops,curiosus,2
JBMP36-1,Enoplosidae,Enoplosus,armatus,2
JBMP36-1,Nemipteridae,Pentapodus,vitta,1
JBMP36-1,Labridae,Notolabrus,parilus,2
JBMP36-1,Labridae,Austrolabrus,maculatus,1
JBMP36-1,Labridae,Thalassoma,lunare,1
JBMP36-1,Scaridae,Scarus,ghobban,3
JBMP36-1,Mullidae,Parupeneus,spilurus,12
JBMP36-1,Pempherididae,Pempheris,klunzingeri,36
JBMP36-1,Apogonidae,Ostorhinchus,victoriae,5
JBMP36-1,Pinguipedidae,Parapercis,haackei,2
JBMP36-1,Labridae,Thalassoma,lutescens,1
JBMP36-1,Labridae,Chlorurus,sordidus,1
JBMP36-1,Apogonidae,Ostorhinchus,doederleini,4
JBMP36-2,Labridae,Coris,auricularis,23
JBMP36-2,Labridae,Choerodon,rubescens,2
JBMP36-2,Haemulidae,Plectorhinchus,flavomaculatus,2
JBMP36-2,Chaetodontidae,Chaetodon,assarius,11
JBMP36-2,Labridae,Bodianus,frenchii,1
JBMP36-2,Pomacentridae,Pomacentrus,milleri,150
JBMP36-2,Chaetodontidae,Chelmonops,curiosus,1
JBMP36-2,Enoplosidae,Enoplosus,armatus,1
JBMP36-2,Labridae,Notolabrus,parilus,4
JBMP36-2,Labridae,Austrolabrus,maculatus,1
JBMP36-2,Scaridae,Scarus,ghobban,1
JBMP36-2,Pempherididae,Pempheris,klunzingeri,28
JBMP36-2,Apogonidae,Ostorhinchus,victoriae,5
JBMP36-2,Labridae,Thalassoma,lutescens,1
JBMP36-2,Odacidae,Olisthops,cyanomelas,10
JBMP36-2,Scorpididae,Microcanthus,strigatus,2
JBMP36-2,Pseudochromidae,Labracinus,lineatus,1
JBMP36-2,Pomacentridae,Parma,occidentalis,1
JBMP36-2,Kyphosidae,Kyphosus,sydneyanus,1
JBMP36-2,Pomacentridae,Stegastes,obreptus,1
JBMP36-2,Scorpididae,Neatypus,obliquus,1
JBMP36-3,Latidae,Psammoperca,waigiensis,1
JBMP36-3,Scorpididae,Neatypus,obliquus,1
JBMP36-3,Pomacentridae,Pomacentrus,milleri,65
JBMP36-3,Kyphosidae,Kyphosus,sydneyanus,1
JBMP36-3,Labridae,Thalassoma,lunare,1
