"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186684,114.9987335,"20121011","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186684,114.9987335,"20121011","Jurien Bay","Sanctuary","1","2","Antonia Cooper","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186684,114.9987335,"20121011","Jurien Bay","Sanctuary","1","2","Antonia Cooper","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186684,114.9987335,"20121011","Jurien Bay","Sanctuary","1","2","Elizabeth Oh","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP12-1",-30.18136597,114.9929504,"20121015","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.18136597,114.9929504,"20121015","Jurien Bay","General Use","12","2","Antonia Cooper","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.18136597,114.9929504,"20121015","Jurien Bay","General Use","12","2","Antonia Cooper","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.18136597,114.9929504,"20121015","Jurien Bay","General Use","12","2","Elizabeth Oh","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP14-1",-30.15686607,114.9954987,"20121016","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP14-2",-30.15686607,114.9954987,"20121016","Jurien Bay","SP Scientific Reference","14","2","Antonia Cooper","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP14-3",-30.15686607,114.9954987,"20121016","Jurien Bay","SP Scientific Reference","14","2","Antonia Cooper","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP14-4",-30.15686607,114.9954987,"20121016","Jurien Bay","SP Scientific Reference","14","2","Elizabeth Oh","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.15678406,114.9668503,"20121015","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.15678406,114.9668503,"20121015","Jurien Bay","SP Scientific Reference","15","5","Antonia Cooper","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.15678406,114.9668503,"20121015","Jurien Bay","SP Scientific Reference","15","5","Antonia Cooper","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.15678406,114.9668503,"20121015","Jurien Bay","SP Scientific Reference","15","5","Elizabeth Oh","Fisherman Islands",2012,"11:00:00","No-take","Yes","Yes"
"JBMP2-1",-30.21523285,114.9920654,"20121012","Jurien Bay","Sanctuary","2","5","Neville Barrett","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP2-2",-30.21523285,114.9920654,"20121012","Jurien Bay","Sanctuary","2","5","Antonia Cooper","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP2-3",-30.21523285,114.9920654,"20121012","Jurien Bay","Sanctuary","2","5","Antonia Cooper","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP2-4",-30.21523285,114.9920654,"20121012","Jurien Bay","Sanctuary","2","5","Elizabeth Oh","North Head",2012,"11:00:00","No-take","Yes","Yes"
"JBMP25-1",-30.12073326,114.9536514,"20121016","Jurien Bay","General Use","25","4","Neville Barrett","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP25-2",-30.12073326,114.9536514,"20121016","Jurien Bay","General Use","25","4","Antonia Cooper","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP25-3",-30.12073326,114.9536514,"20121016","Jurien Bay","General Use","25","4","Antonia Cooper","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP25-4",-30.12073326,114.9536514,"20121016","Jurien Bay","General Use","25","4","Elizabeth Oh","Fisherman Islands",2012,"11:00:00","Fished","Yes","Yes"
"JBMP26-1",-30.68143272,115.0954819,"20121018","Jurien Bay","SP Scientific Reference","26","12","Neville Barrett","Green Islands",2012,"11:00:00","No-take","Yes","Yes"
