"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP17-1",-30.75571632,115.1649704,"20061016","Jurien Bay","Sanctuary","17","3","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP17-2",-30.75571632,115.1649704,"20061016","Jurien Bay","Sanctuary","17","3","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP17-3",-30.75571632,115.1649704,"20061016","Jurien Bay","Sanctuary","17","3","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP17-4",-30.75571632,115.1649704,"20061016","Jurien Bay","Sanctuary","17","3","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP18-1",-30.75415039,115.1695633,"20061016","Jurien Bay","Sanctuary","18","4","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP18-2",-30.75415039,115.1695633,"20061016","Jurien Bay","Sanctuary","18","4","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP18-3",-30.75415039,115.1695633,"20061016","Jurien Bay","Sanctuary","18","4","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP18-4",-30.75415039,115.1695633,"20061016","Jurien Bay","Sanctuary","18","4","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP19-1",-30.70928383,115.1180649,"20061022","Jurien Bay","SP Scientific Reference","19","4","Kev Crane","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP19-2",-30.70928383,115.1180649,"20061022","Jurien Bay","SP Scientific Reference","19","4","Kev Crane","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP19-3",-30.70928383,115.1180649,"20061022","Jurien Bay","SP Scientific Reference","19","4","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP19-4",-30.70928383,115.1180649,"20061022","Jurien Bay","SP Scientific Reference","19","4","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP2-1",-30.21523285,114.9920654,"20061023","Jurien Bay","Sanctuary","2","5","Graham Edgar","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP2-2",-30.21523285,114.9920654,"20061023","Jurien Bay","Sanctuary","2","5","Dave Lenel","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP2-3",-30.21523285,114.9920654,"20061023","Jurien Bay","Sanctuary","2","5","Dave Lenel","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP2-4",-30.21523285,114.9920654,"20061023","Jurien Bay","Sanctuary","2","5","Dave Lenel","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP20-1",-30.72203255,115.1507034,"20061022","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP20-2",-30.72203255,115.1507034,"20061022","Jurien Bay","SP Scientific Reference","20","4","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP20-3",-30.72203255,115.1507034,"20061022","Jurien Bay","SP Scientific Reference","20","4","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP20-4",-30.72203255,115.1507034,"20061022","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP21-1",-30.62076759,115.1023865,"20061019","Jurien Bay","Sanctuary","21","5","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP21-2",-30.62076759,115.1023865,"20061019","Jurien Bay","Sanctuary","21","5","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP21-3",-30.62076759,115.1023865,"20061019","Jurien Bay","Sanctuary","21","5","Dave Lenel","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP21-4",-30.62076759,115.1023865,"20061019","Jurien Bay","Sanctuary","21","5","Dave Lenel","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP22-1",-30.58995056,115.0648193,"20061020","Jurien Bay","General Use","22","4","Arianna Polacheck","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP22-2",-30.58995056,115.0648193,"20061020","Jurien Bay","General Use","22","4","Arianna Polacheck","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP22-3",-30.58995056,115.0648193,"20061020","Jurien Bay","General Use","22","4","Dave Lenel","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP22-4",-30.58995056,115.0648193,"20061020","Jurien Bay","General Use","22","4","Dave Lenel","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP23-1",-30.48513413,115.0299835,"20061027","Jurien Bay","General Use","23","5","Neville Barrett","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP23-2",-30.48513413,115.0299835,"20061027","Jurien Bay","General Use","23","5","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP23-3",-30.48513413,115.0299835,"20061027","Jurien Bay","General Use","23","5","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP23-4",-30.48513413,115.0299835,"20061027","Jurien Bay","General Use","23","5","Neville Barrett","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP24-1",-30.43518257,115.0354996,"20061012","Jurien Bay","SP Scientific Reference","24","3","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP24-2",-30.43518257,115.0354996,"20061012","Jurien Bay","SP Scientific Reference","24","3","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP24-3",-30.43518257,115.0354996,"20061012","Jurien Bay","SP Scientific Reference","24","3","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP24-4",-30.43518257,115.0354996,"20061012","Jurien Bay","SP Scientific Reference","24","3","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP25-1",-30.12073326,114.9536514,"20061015","Jurien Bay","General Use","25","4","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP25-2",-30.12073326,114.9536514,"20061015","Jurien Bay","General Use","25","4","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP25-3",-30.12073326,114.9536514,"20061015","Jurien Bay","General Use","25","4","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP25-4",-30.12073326,114.9536514,"20061015","Jurien Bay","General Use","25","4","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP26-1",-30.68143272,115.0954819,"20061017","Jurien Bay","SP Scientific Reference","26","12","Arianna Polacheck","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP26-2",-30.68143272,115.0954819,"20061017","Jurien Bay","SP Scientific Reference","26","12","Arianna Polacheck","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP26-3",-30.68143272,115.0954819,"20061017","Jurien Bay","SP Scientific Reference","26","12","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP26-4",-30.68143272,115.0954819,"20061017","Jurien Bay","SP Scientific Reference","26","12","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP27-1",-30.62549973,115.1133652,"20061022","Jurien Bay","Sanctuary","27","3","Neville Barrett","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP27-2",-30.62549973,115.1133652,"20061022","Jurien Bay","Sanctuary","27","3","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP27-3",-30.62549973,115.1133652,"20061022","Jurien Bay","Sanctuary","27","3","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP27-4",-30.62549973,115.1133652,"20061022","Jurien Bay","Sanctuary","27","3","Neville Barrett","Cavanagh Reef",2006,"11:00:00","No-take","Yes","Yes"
"JBMP28-1",-30.58913422,115.0488663,"20061026","Jurien Bay","General Use","28","10","Neville Barrett","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP28-2",-30.58913422,115.0488663,"20061026","Jurien Bay","General Use","28","10","Arianna Polacheck","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP28-3",-30.58913422,115.0488663,"20061026","Jurien Bay","General Use","28","10","Arianna Polacheck","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP28-4",-30.58913422,115.0488663,"20061026","Jurien Bay","General Use","28","10","Arianna Polacheck","Green Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP29-1",-30.6716671,115.1356354,"20061020","Jurien Bay","Sanctuary","29","5","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP29-2",-30.6716671,115.1356354,"20061020","Jurien Bay","Sanctuary","29","5","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP29-3",-30.6716671,115.1356354,"20061020","Jurien Bay","Sanctuary","29","5","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP29-4",-30.6716671,115.1356354,"20061020","Jurien Bay","Sanctuary","29","5","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP3-1",-30.42141724,115.0019302,"20061020","Jurien Bay","SP Scientific Reference","3","5","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP3-2",-30.42141724,115.0019302,"20061020","Jurien Bay","SP Scientific Reference","3","5","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP3-3",-30.42141724,115.0019302,"20061020","Jurien Bay","SP Scientific Reference","3","5","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP3-4",-30.42141724,115.0019302,"20061020","Jurien Bay","SP Scientific Reference","3","5","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
