"Sample","Family","Genus","Species","Count"
"JBMP1-1","Pomacentridae","Parma","mccullochi",3
"JBMP1-1","Labridae","Coris","auricularis",2
"JBMP1-1","Labridae","Halichoeres","brownfieldi",3
"JBMP1-1","Ostraciidae","Anoplocapros","lenticularis",1
"JBMP1-1","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Pomacentridae","Parma","occidentalis",3
"JBMP1-1","Pomacentridae","Pomacentrus","milleri",1
"JBMP1-1","Labridae","Coris","auricularis",3
"JBMP1-1","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Labridae","Notolabrus","parilus",1
"JBMP1-1","Labridae","Coris","auricularis",13
"JBMP1-1","Labridae","Halichoeres","brownfieldi",5
"JBMP1-1","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-1","Labridae","Notolabrus","parilus",8
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Scorpididae","Scorpis","georgiana",1
"JBMP1-1","Pomacentridae","Parma","occidentalis",3
"JBMP1-1","Pomacentridae","Parma","occidentalis",4
"JBMP1-1","Pomacentridae","Pomacentrus","milleri",3
"JBMP1-1","Labridae","Coris","auricularis",11
"JBMP1-1","Labridae","Notolabrus","parilus",8
"JBMP1-1","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP1-1","Pomacentridae","Parma","occidentalis",1
"JBMP1-2","Labridae","Coris","auricularis",5
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Notolabrus","parilus",1
"JBMP1-2","Labridae","Notolabrus","parilus",3
"JBMP1-2","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP1-2","Pomacentridae","Parma","occidentalis",1
"JBMP1-2","Labridae","Austrolabrus","maculatus",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",2
"JBMP1-2","Labridae","Coris","auricularis",6
"JBMP1-2","Labridae","Coris","auricularis",12
"JBMP1-2","Labridae","Coris","auricularis",3
"JBMP1-2","Labridae","Notolabrus","parilus",2
"JBMP1-2","Labridae","Notolabrus","parilus",1
"JBMP1-2","Labridae","Notolabrus","parilus",3
"JBMP1-2","Pomacentridae","Parma","occidentalis",2
"JBMP1-2","Pomacentridae","Parma","occidentalis",4
"JBMP1-2","Labridae","Austrolabrus","maculatus",1
"JBMP1-2","Labridae","Coris","auricularis",19
"JBMP1-2","Labridae","Halichoeres","brownfieldi",12
"JBMP1-2","Labridae","Notolabrus","parilus",10
"JBMP1-2","Pseudochromidae","Labracinus","lineatus",1
"JBMP1-2","Pomacentridae","Parma","occidentalis",6
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",3
"JBMP1-2","Nemipteridae","Pentapodus","vitta",1
"JBMP1-2","Cheilodactylidae","Cheilodactylus","gibbosus",2
"JBMP1-2","Labridae","Austrolabrus","maculatus",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",2
"JBMP1-2","Labridae","Coris","auricularis",20
"JBMP1-2","Labridae","Halichoeres","brownfieldi",14
"JBMP1-2","Labridae","Notolabrus","parilus",6
"JBMP1-2","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP1-2","Scorpididae","Scorpis","georgiana",1
"JBMP1-2","Scorpididae","Scorpis","georgiana",1
"JBMP1-2","Pomacentridae","Parma","occidentalis",3
"JBMP1-2","Kyphosidae","Kyphosus","cornelii",1
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",1
"JBMP1-3","Pomacentridae","Parma","mccullochi",2
"JBMP1-3","Labridae","Coris","auricularis",2
"JBMP1-3","Labridae","Coris","auricularis",1
"JBMP1-3","Labridae","Coris","auricularis",1
"JBMP1-3","Labridae","Notolabrus","parilus",4
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Pomacentridae","Parma","occidentalis",1
"JBMP1-3","Labridae","Halichoeres","brownfieldi",1
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Kyphosidae","Kyphosus","sydneyanus",5
"JBMP1-3","Labridae","Coris","auricularis",6
"JBMP1-3","Labridae","Coris","auricularis",7
"JBMP1-3","Labridae","Halichoeres","brownfieldi",10
"JBMP1-3","Labridae","Halichoeres","brownfieldi",1
"JBMP1-3","Labridae","Pictilabrus","viridis",1
"JBMP1-3","Labridae","Notolabrus","parilus",5
