"Sample","Family","Genus","Species","Count","Length"
"JBMP1-1","Pomacentridae","Parma","mccullochi",4,125
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1,75
"JBMP1-1","Cheilodactylidae","Cheilodactylus","rubrolabiatus",1,200
"JBMP1-1","Labridae","Notolabrus","parilus",4,125
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1,100
"JBMP1-1","Labridae","Austrolabrus","maculatus",1,75
"JBMP1-1","Pomacentridae","Parma","mccullochi",4,75
"JBMP1-1","Labridae","Coris","auricularis",28,75
"JBMP1-1","Labridae","Halichoeres","brownfieldi",3,50
"JBMP1-1","Labridae","Notolabrus","parilus",5,75
"JBMP1-1","Pomacentridae","Parma","mccullochi",1,100
"JBMP1-1","Labridae","Coris","auricularis",7,100
"JBMP1-1","Monodactylidae","Schuettea","woodwardi",30,50
"JBMP1-1","Labridae","Notolabrus","parilus",4,100
"JBMP1-1","Kyphosidae","Kyphosus","cornelii",9,250
"JBMP1-2","Labridae","Halichoeres","brownfieldi",1,100
"JBMP1-2","Scorpididae","Scorpis","georgiana",1,150
"JBMP1-2","Pomacentridae","Parma","mccullochi",4,125
"JBMP1-2","Labridae","Coris","auricularis",1,125
"JBMP1-2","Labridae","Halichoeres","brownfieldi",8,75
"JBMP1-2","Chaetodontidae","Chelmonops","curiosus",1,100
"JBMP1-2","Labridae","Notolabrus","parilus",3,125
"JBMP1-2","Pomacentridae","Parma","mccullochi",4,75
"JBMP1-2","Labridae","Coris","auricularis",5,75
"JBMP1-2","Labridae","Halichoeres","brownfieldi",1,50
"JBMP1-2","Labridae","Notolabrus","parilus",10,75
"JBMP1-2","Labridae","Notolabrus","parilus",1,150
"JBMP1-2","Pomacentridae","Parma","occidentalis",1,125
"JBMP1-2","Labridae","Coris","auricularis",2,100
"JBMP1-2","Labridae","Halichoeres","brownfieldi",2,125
"JBMP1-2","Labridae","Notolabrus","parilus",4,100
"JBMP1-2","Pseudochromidae","Labracinus","lineatus",1,125
"JBMP1-3","Odacidae","Olisthops","cyanomelas",1,125
"JBMP1-3","Odacidae","Olisthops","cyanomelas",1,200
"JBMP1-3","Labridae","Halichoeres","brownfieldi",3,125
"JBMP1-3","Kyphosidae","Kyphosus","cornelii",50,250
"JBMP1-3","Odacidae","Olisthops","cyanomelas",1,250
"JBMP1-3","Nemipteridae","Pentapodus","vitta",1,250
"JBMP1-3","Labridae","Halichoeres","brownfieldi",1,50
"JBMP1-3","Labridae","Notolabrus","parilus",1,75
"JBMP1-3","Labridae","Notolabrus","parilus",2,125
"JBMP1-3","Labridae","Notolabrus","parilus",1,150
"JBMP1-3","Labridae","Halichoeres","brownfieldi",3,100
"JBMP1-3","Odacidae","Olisthops","cyanomelas",1,150
"JBMP1-3","Labridae","Halichoeres","brownfieldi",5,75
"JBMP1-3","Labridae","Notolabrus","parilus",1,100
"JBMP1-4","Labridae","Coris","auricularis",2,125
"JBMP1-4","Labridae","Coris","auricularis",1,150
"JBMP1-4","Labridae","Notolabrus","parilus",3,125
"JBMP1-4","Labridae","Notolabrus","parilus",2,150
"JBMP1-4","Labridae","Notolabrus","parilus",2,200
"JBMP1-4","Odacidae","Olisthops","cyanomelas",1,200
"JBMP1-4","Labridae","Coris","auricularis",1,50
"JBMP1-4","Labridae","Halichoeres","brownfieldi",6,100
"JBMP1-4","Labridae","Halichoeres","brownfieldi",1,125
"JBMP1-4","Labridae","Notolabrus","parilus",1,50
"JBMP1-4","Labridae","Notolabrus","parilus",3,250
"JBMP1-4","Kyphosidae","Kyphosus","cornelii",200,250
"JBMP1-4","Kyphosidae","Kyphosus","cornelii",200,300
"JBMP1-4","Labridae","Coris","auricularis",2,75
"JBMP1-4","Labridae","Halichoeres","brownfieldi",3,50
"JBMP1-4","Labridae","Notolabrus","parilus",2,75
"JBMP1-4","Kyphosidae","Kyphosus","cornelii",100,150
"JBMP1-4","Odacidae","Olisthops","cyanomelas",1,150
"JBMP1-4","Labridae","Coris","auricularis",3,100
"JBMP1-4","Labridae","Halichoeres","brownfieldi",4,75
"JBMP1-4","Labridae","Notolabrus","parilus",5,100
"JBMP1-4","Kyphosidae","Kyphosus","cornelii",250,200
"JBMP1-4","Labridae","Choerodon","rubescens",1,250
"JBMP1-4","Kyphosidae","Girella","zebra",20,250
"JBMP10-1","Scorpididae","Neatypus","obliquus",2,100
"JBMP10-1","Scorpididae","Neatypus","obliquus",3,75
"JBMP10-1","Kyphosidae","Kyphosus","sydneyanus",1,200
"JBMP10-1","Pomacentridae","Parma","mccullochi",2,250
"JBMP10-1","Labridae","Coris","auricularis",4,250
"JBMP10-1","Labridae","Coris","auricularis",1,300
"JBMP10-1","Labridae","Pseudolabrus","biserialis",1,125
"JBMP10-1","Labridae","Notolabrus","parilus",1,75
"JBMP10-1","Labridae","Notolabrus","parilus",1,250
"JBMP10-1","Labridae","Notolabrus","parilus",1,300
"JBMP10-1","Pomacentridae","Parma","occidentalis",1,150
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",1,75
"JBMP10-1","Carangidae","Pseudocaranx","georgianus",1,150
"JBMP10-1","Kyphosidae","Kyphosus","sydneyanus",1,250
"JBMP10-1","Kyphosidae","Kyphosus","sydneyanus",1,500
"JBMP10-1","Labridae","Austrolabrus","maculatus",1,100
"JBMP10-1","Pomacentridae","Parma","mccullochi",1,125
"JBMP10-1","Pomacentridae","Parma","mccullochi",1,200
"JBMP10-1","Labridae","Coris","auricularis",2,100
"JBMP10-1","Labridae","Coris","auricularis",3,125
"JBMP10-1","Labridae","Notolabrus","parilus",1,100
"JBMP10-1","Scorpididae","Scorpis","georgiana",2,250
"JBMP10-1","Pomacentridae","Parma","occidentalis",1,100
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1,200
"JBMP10-1","Labridae","Austrolabrus","maculatus",2,125
"JBMP10-1","Labridae","Austrolabrus","maculatus",1,150
"JBMP10-1","Pomacentridae","Parma","mccullochi",2,150
