"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186684,114.9987335,"20131116","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186684,114.9987335,"20131116","Jurien Bay","Sanctuary","1","2","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186684,114.9987335,"20131116","Jurien Bay","Sanctuary","1","2","Elizabeth Oh","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186684,114.9987335,"20131116","Jurien Bay","Sanctuary","1","2","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP10-1",-30.26449966,114.9749985,"20131125","Jurien Bay","General Use","10","6","Kev Crane","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP10-2",-30.26449966,114.9749985,"20131125","Jurien Bay","General Use","10","6","Kev Crane","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP10-3",-30.26449966,114.9749985,"20131125","Jurien Bay","General Use","10","6","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP10-4",-30.26449966,114.9749985,"20131125","Jurien Bay","General Use","10","6","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP11-1",-30.19646645,114.9886017,"20131119","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2013,"11:00:00","Fished","Yes","Yes"
"JBMP11-2",-30.19646645,114.9886017,"20131119","Jurien Bay","General Use","11","4","Joe Valentine","North Head",2013,"11:00:00","Fished","Yes","Yes"
"JBMP11-3",-30.19646645,114.9886017,"20131119","Jurien Bay","General Use","11","4","Elizabeth Oh","North Head",2013,"11:00:00","Fished","Yes","Yes"
"JBMP11-4",-30.19646645,114.9886017,"20131119","Jurien Bay","General Use","11","4","Joe Valentine","North Head",2013,"11:00:00","Fished","Yes","Yes"
"JBMP12-1",-30.18136597,114.9929504,"20131116","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.18136597,114.9929504,"20131116","Jurien Bay","General Use","12","2","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.18136597,114.9929504,"20131116","Jurien Bay","General Use","12","2","Elizabeth Oh","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.18136597,114.9929504,"20131116","Jurien Bay","General Use","12","2","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP13-1",-30.22683334,114.993515,"20131116","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP13-2",-30.22683334,114.993515,"20131116","Jurien Bay","Sanctuary","13","4","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP13-3",-30.22683334,114.993515,"20131116","Jurien Bay","Sanctuary","13","4","Elizabeth Oh","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP13-4",-30.22683334,114.993515,"20131116","Jurien Bay","Sanctuary","13","4","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP14-1",-30.15686607,114.9954987,"20131119","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP14-2",-30.15686607,114.9954987,"20131119","Jurien Bay","SP Scientific Reference","14","2","Joe Valentine","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP14-3",-30.15686607,114.9954987,"20131119","Jurien Bay","SP Scientific Reference","14","2","Elizabeth Oh","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP14-4",-30.15686607,114.9954987,"20131119","Jurien Bay","SP Scientific Reference","14","2","Joe Valentine","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.15678406,114.9668503,"20131120","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.15678406,114.9668503,"20131120","Jurien Bay","SP Scientific Reference","15","5","Joe Valentine","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.15678406,114.9668503,"20131120","Jurien Bay","SP Scientific Reference","15","5","Elizabeth Oh","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.15678406,114.9668503,"20131120","Jurien Bay","SP Scientific Reference","15","5","Joe Valentine","Fisherman Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP16-1",-30.66884995,115.121933,"20131126","Jurien Bay","SP Scientific Reference","16","3","Kev Crane",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP16-2",-30.66884995,115.121933,"20131126","Jurien Bay","SP Scientific Reference","16","3","Kev Crane",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP16-3",-30.66884995,115.121933,"20131126","Jurien Bay","SP Scientific Reference","16","3","Joe Valentine",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP16-4",-30.66884995,115.121933,"20131126","Jurien Bay","SP Scientific Reference","16","3","Joe Valentine",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP17-1",-30.75571632,115.1649704,"20131123","Jurien Bay","Sanctuary","17","3","Neville Barrett","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP17-2",-30.75571632,115.1649704,"20131123","Jurien Bay","Sanctuary","17","3","Joe Valentine","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP17-3",-30.75571632,115.1649704,"20131123","Jurien Bay","Sanctuary","17","3","Elizabeth Oh","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP17-4",-30.75571632,115.1649704,"20131123","Jurien Bay","Sanctuary","17","3","Joe Valentine","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP18-1",-30.75415039,115.1695633,"20131123","Jurien Bay","Sanctuary","18","4","Neville Barrett","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP18-2",-30.75415039,115.1695633,"20131123","Jurien Bay","Sanctuary","18","4","Joe Valentine","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP18-3",-30.75415039,115.1695633,"20131123","Jurien Bay","Sanctuary","18","4","Elizabeth Oh","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP18-4",-30.75415039,115.1695633,"20131123","Jurien Bay","Sanctuary","18","4","Joe Valentine","Target Rock",2013,"11:00:00","No-take","Yes","Yes"
"JBMP19-1",-30.70928383,115.1180649,"20131123","Jurien Bay","SP Scientific Reference","19","4","Neville Barrett","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP19-2",-30.70928383,115.1180649,"20131123","Jurien Bay","SP Scientific Reference","19","4","Joe Valentine","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP19-3",-30.70928383,115.1180649,"20131123","Jurien Bay","SP Scientific Reference","19","4","Elizabeth Oh","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP19-4",-30.70928383,115.1180649,"20131123","Jurien Bay","SP Scientific Reference","19","4","Joe Valentine","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP2-1",-30.21523285,114.9920654,"20131119","Jurien Bay","Sanctuary","2","5","Neville Barrett","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP2-2",-30.21523285,114.9920654,"20131119","Jurien Bay","Sanctuary","2","5","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP2-3",-30.21523285,114.9920654,"20131119","Jurien Bay","Sanctuary","2","5","Elizabeth Oh","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP2-4",-30.21523285,114.9920654,"20131119","Jurien Bay","Sanctuary","2","5","Joe Valentine","North Head",2013,"11:00:00","No-take","Yes","Yes"
"JBMP20-1",-30.72203255,115.1507034,"20131124","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP20-2",-30.72203255,115.1507034,"20131124","Jurien Bay","SP Scientific Reference","20","4","Joe Valentine",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP20-3",-30.72203255,115.1507034,"20131124","Jurien Bay","SP Scientific Reference","20","4","Elizabeth Oh",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP20-4",-30.72203255,115.1507034,"20131124","Jurien Bay","SP Scientific Reference","20","4","Joe Valentine",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP21-1",-30.62076759,115.1023865,"20131117","Jurien Bay","Sanctuary","21","5","Neville Barrett","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP21-2",-30.62076759,115.1023865,"20131117","Jurien Bay","Sanctuary","21","5","Joe Valentine","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP21-3",-30.62076759,115.1023865,"20131117","Jurien Bay","Sanctuary","21","5","Elizabeth Oh","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP21-4",-30.62076759,115.1023865,"20131117","Jurien Bay","Sanctuary","21","5","Joe Valentine","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP22-1",-30.58995056,115.0648193,"20131117","Jurien Bay","General Use","22","4","Neville Barrett","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP22-2",-30.58995056,115.0648193,"20131117","Jurien Bay","General Use","22","4","Joe Valentine","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP22-3",-30.58995056,115.0648193,"20131117","Jurien Bay","General Use","22","4","Elizabeth Oh","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP22-4",-30.58995056,115.0648193,"20131117","Jurien Bay","General Use","22","4","Joe Valentine","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP23-1",-30.48513413,115.0299835,"20131115","Jurien Bay","General Use","23","5","Neville Barrett","Hill River",2013,"11:00:00","Fished","Yes","Yes"
"JBMP23-2",-30.48513413,115.0299835,"20131115","Jurien Bay","General Use","23","5","Joe Valentine","Hill River",2013,"11:00:00","Fished","Yes","Yes"
"JBMP23-3",-30.48513413,115.0299835,"20131115","Jurien Bay","General Use","23","5","Elizabeth Oh","Hill River",2013,"11:00:00","Fished","Yes","Yes"
"JBMP23-4",-30.48513413,115.0299835,"20131115","Jurien Bay","General Use","23","5","Joe Valentine","Hill River",2013,"11:00:00","Fished","Yes","Yes"
"JBMP24-1",-30.43518257,115.0354996,"20131115","Jurien Bay","SP Scientific Reference","24","3","Neville Barrett","Hill River",2013,"11:00:00","No-take","Yes","Yes"
"JBMP24-2",-30.43518257,115.0354996,"20131115","Jurien Bay","SP Scientific Reference","24","3","Joe Valentine","Hill River",2013,"11:00:00","No-take","Yes","Yes"
"JBMP24-3",-30.43518257,115.0354996,"20131115","Jurien Bay","SP Scientific Reference","24","3","Elizabeth Oh","Hill River",2013,"11:00:00","No-take","Yes","Yes"
"JBMP24-4",-30.43518257,115.0354996,"20131115","Jurien Bay","SP Scientific Reference","24","3","Joe Valentine","Hill River",2013,"11:00:00","No-take","Yes","Yes"
"JBMP25-1",-30.12073326,114.9536514,"20131120","Jurien Bay","General Use","25","4","Neville Barrett","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP25-2",-30.12073326,114.9536514,"20131120","Jurien Bay","General Use","25","4","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP25-3",-30.12073326,114.9536514,"20131120","Jurien Bay","General Use","25","4","Elizabeth Oh","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP25-4",-30.12073326,114.9536514,"20131120","Jurien Bay","General Use","25","4","Joe Valentine","Fisherman Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP26-1",-30.68143272,115.0954819,"20131124","Jurien Bay","SP Scientific Reference","26","12","Neville Barrett","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP26-2",-30.68143272,115.0954819,"20131124","Jurien Bay","SP Scientific Reference","26","12","Joe Valentine","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP26-3",-30.68143272,115.0954819,"20131124","Jurien Bay","SP Scientific Reference","26","12","Elizabeth Oh","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP26-4",-30.68143272,115.0954819,"20131124","Jurien Bay","SP Scientific Reference","26","12","Joe Valentine","Green Islands",2013,"11:00:00","No-take","Yes","Yes"
"JBMP27-1",-30.62549973,115.1133652,"20131117","Jurien Bay","Sanctuary","27","3","Neville Barrett","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP27-2",-30.62549973,115.1133652,"20131117","Jurien Bay","Sanctuary","27","3","Joe Valentine","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP27-3",-30.62549973,115.1133652,"20131117","Jurien Bay","Sanctuary","27","3","Elizabeth Oh","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP27-4",-30.62549973,115.1133652,"20131117","Jurien Bay","Sanctuary","27","3","Joe Valentine","Cavanagh Reef",2013,"11:00:00","No-take","Yes","Yes"
"JBMP28-1",-30.58913422,115.0488663,"20131117","Jurien Bay","General Use","28","10","Neville Barrett","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP28-2",-30.58913422,115.0488663,"20131117","Jurien Bay","General Use","28","10","Joe Valentine","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP28-3",-30.58913422,115.0488663,"20131117","Jurien Bay","General Use","28","10","Elizabeth Oh","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP28-4",-30.58913422,115.0488663,"20131117","Jurien Bay","General Use","28","10","Joe Valentine","Green Islands",2013,"11:00:00","Fished","Yes","Yes"
"JBMP29-1",-30.6716671,115.1356354,"20131128","Jurien Bay","Sanctuary","29","5","Neville Barrett",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP29-2",-30.6716671,115.1356354,"20131128","Jurien Bay","Sanctuary","29","5","Kev Crane",NA,2013,"11:00:00","No-take","Yes","Yes"
"JBMP29-3",-30.6716671,115.1356354,"20131128","Jurien Bay","Sanctuary","29","5","Elizabeth Oh",NA,2013,"11:00:00","No-take","Yes","Yes"
