"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186684,114.9987335,"20031006","Jurien Bay","Sanctuary","1","2","Graham Edgar","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186684,114.9987335,"20031006","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186684,114.9987335,"20031006","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186684,114.9987335,"20031006","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP10-1",-30.26449966,114.9749985,"20031010","Jurien Bay","General Use","10","6","Graham Edgar","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP10-2",-30.26449966,114.9749985,"20031010","Jurien Bay","General Use","10","6","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP10-3",-30.26449966,114.9749985,"20031010","Jurien Bay","General Use","10","6","Jayson ? (2003 WA)","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP10-4",-30.26449966,114.9749985,"20031010","Jurien Bay","General Use","10","6","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP11-1",-30.19646645,114.9886017,"20031014","Jurien Bay","General Use","11","4","Graham Edgar","North Head",2003,"11:00:00","Fished","Yes","Yes"
"JBMP11-2",-30.19646645,114.9886017,"20031014","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2003,"11:00:00","Fished","Yes","Yes"
"JBMP11-3",-30.19646645,114.9886017,"20031014","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2003,"11:00:00","Fished","Yes","Yes"
"JBMP11-4",-30.19646645,114.9886017,"20031014","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2003,"11:00:00","Fished","Yes","Yes"
"JBMP12-1",-30.18136597,114.9929504,"20031014","Jurien Bay","General Use","12","2","Graham Edgar","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.18136597,114.9929504,"20031014","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.18136597,114.9929504,"20031014","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.18136597,114.9929504,"20031014","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP13-1",-30.22683334,114.993515,"20031006","Jurien Bay","Sanctuary","13","4","Graham Edgar","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP13-2",-30.22683334,114.993515,"20031006","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP13-3",-30.22683334,114.993515,"20031006","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP13-4",-30.22683334,114.993515,"20031006","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP14-1",-30.15686607,114.9954987,"20031010","Jurien Bay","SP Scientific Reference","14","2","Graham Edgar","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP14-2",-30.15686607,114.9954987,"20031010","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP14-3",-30.15686607,114.9954987,"20031010","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP14-4",-30.15686607,114.9954987,"20031010","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.15678406,114.9668503,"20031011","Jurien Bay","SP Scientific Reference","15","5","Graham Edgar","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.15678406,114.9668503,"20031011","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.15678406,114.9668503,"20031011","Jurien Bay","SP Scientific Reference","15","5","Jayson ? (2003 WA)","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.15678406,114.9668503,"20031011","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP16-1",-30.66884995,115.121933,"20031008","Jurien Bay","SP Scientific Reference","16","3","Graham Edgar",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP16-2",-30.66884995,115.121933,"20031008","Jurien Bay","SP Scientific Reference","16","3","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP16-3",-30.66884995,115.121933,"20031008","Jurien Bay","SP Scientific Reference","16","3","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP16-4",-30.66884995,115.121933,"20031008","Jurien Bay","SP Scientific Reference","16","3","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP17-1",-30.75571632,115.1649704,"20031009","Jurien Bay","Sanctuary","17","3","Graham Edgar","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP17-2",-30.75571632,115.1649704,"20031009","Jurien Bay","Sanctuary","17","3","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP17-3",-30.75571632,115.1649704,"20031009","Jurien Bay","Sanctuary","17","3","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP17-4",-30.75571632,115.1649704,"20031009","Jurien Bay","Sanctuary","17","3","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP18-1",-30.75415039,115.1695633,"20031009","Jurien Bay","Sanctuary","18","4","Graham Edgar","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP18-2",-30.75415039,115.1695633,"20031009","Jurien Bay","Sanctuary","18","4","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP18-3",-30.75415039,115.1695633,"20031009","Jurien Bay","Sanctuary","18","4","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP18-4",-30.75415039,115.1695633,"20031009","Jurien Bay","Sanctuary","18","4","Neville Barrett","Target Rock",2003,"11:00:00","No-take","Yes","Yes"
"JBMP19-1",-30.70928383,115.1180649,"20031008","Jurien Bay","SP Scientific Reference","19","4","Graham Edgar","Green Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP19-2",-30.70928383,115.1180649,"20031008","Jurien Bay","SP Scientific Reference","19","4","Neville Barrett","Green Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP19-3",-30.70928383,115.1180649,"20031008","Jurien Bay","SP Scientific Reference","19","4","Neville Barrett","Green Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP19-4",-30.70928383,115.1180649,"20031008","Jurien Bay","SP Scientific Reference","19","4","Neville Barrett","Green Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP2-1",-30.21523285,114.9920654,"20031014","Jurien Bay","Sanctuary","2","5","Graham Edgar","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP2-2",-30.21523285,114.9920654,"20031014","Jurien Bay","Sanctuary","2","5","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP2-3",-30.21523285,114.9920654,"20031014","Jurien Bay","Sanctuary","2","5","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP2-4",-30.21523285,114.9920654,"20031014","Jurien Bay","Sanctuary","2","5","Neville Barrett","North Head",2003,"11:00:00","No-take","Yes","Yes"
"JBMP20-1",-30.72203255,115.1507034,"20031009","Jurien Bay","SP Scientific Reference","20","4","Graham Edgar",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP20-2",-30.72203255,115.1507034,"20031009","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP20-3",-30.72203255,115.1507034,"20031009","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP20-4",-30.72203255,115.1507034,"20031009","Jurien Bay","SP Scientific Reference","20","4","Neville Barrett",NA,2003,"11:00:00","No-take","Yes","Yes"
"JBMP21-1",-30.62076759,115.1023865,"20031008","Jurien Bay","Sanctuary","21","5","Graham Edgar","Cavanagh Reef",2003,"11:00:00","No-take","Yes","Yes"
"JBMP21-2",-30.62076759,115.1023865,"20031008","Jurien Bay","Sanctuary","21","5","Neville Barrett","Cavanagh Reef",2003,"11:00:00","No-take","Yes","Yes"
"JBMP21-3",-30.62076759,115.1023865,"20031008","Jurien Bay","Sanctuary","21","5","Neville Barrett","Cavanagh Reef",2003,"11:00:00","No-take","Yes","Yes"
"JBMP21-4",-30.62076759,115.1023865,"20031008","Jurien Bay","Sanctuary","21","5","Neville Barrett","Cavanagh Reef",2003,"11:00:00","No-take","Yes","Yes"
"JBMP22-1",-30.58995056,115.0648193,"20031009","Jurien Bay","General Use","22","4","Graham Edgar","Green Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP22-2",-30.58995056,115.0648193,"20031009","Jurien Bay","General Use","22","4","Neville Barrett","Green Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP22-3",-30.58995056,115.0648193,"20031009","Jurien Bay","General Use","22","4","Neville Barrett","Green Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP22-4",-30.58995056,115.0648193,"20031009","Jurien Bay","General Use","22","4","Neville Barrett","Green Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP23-1",-30.48513413,115.0299835,"20031010","Jurien Bay","General Use","23","5","Graham Edgar","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP23-2",-30.48513413,115.0299835,"20031010","Jurien Bay","General Use","23","5","Jayson ? (2003 WA)","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP23-3",-30.48513413,115.0299835,"20031010","Jurien Bay","General Use","23","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP23-4",-30.48513413,115.0299835,"20031010","Jurien Bay","General Use","23","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP24-1",-30.43518257,115.0354996,"20031007","Jurien Bay","SP Scientific Reference","24","3","Graham Edgar","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP24-2",-30.43518257,115.0354996,"20031007","Jurien Bay","SP Scientific Reference","24","3","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP24-3",-30.43518257,115.0354996,"20031007","Jurien Bay","SP Scientific Reference","24","3","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP24-4",-30.43518257,115.0354996,"20031007","Jurien Bay","SP Scientific Reference","24","3","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP25-1",-30.12073326,114.9536514,"20031012","Jurien Bay","General Use","25","4","Graham Edgar","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP25-2",-30.12073326,114.9536514,"20031012","Jurien Bay","General Use","25","4","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP25-3",-30.12073326,114.9536514,"20031012","Jurien Bay","General Use","25","4","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP25-4",-30.12073326,114.9536514,"20031012","Jurien Bay","General Use","25","4","Neville Barrett","Fisherman Islands",2003,"11:00:00","Fished","Yes","Yes"
"JBMP3-1",-30.42141724,115.0019302,"20031007","Jurien Bay","SP Scientific Reference","3","5","Graham Edgar","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP3-2",-30.42141724,115.0019302,"20031007","Jurien Bay","SP Scientific Reference","3","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP3-3",-30.42141724,115.0019302,"20031007","Jurien Bay","SP Scientific Reference","3","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP3-4",-30.42141724,115.0019302,"20031007","Jurien Bay","SP Scientific Reference","3","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP4-1",-30.43376732,114.999733,"20031007","Jurien Bay","SP Scientific Reference","4","5","Graham Edgar","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP4-2",-30.43376732,114.999733,"20031007","Jurien Bay","SP Scientific Reference","4","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP4-3",-30.43376732,114.999733,"20031007","Jurien Bay","SP Scientific Reference","4","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP4-4",-30.43376732,114.999733,"20031007","Jurien Bay","SP Scientific Reference","4","5","Neville Barrett","Hill River",2003,"11:00:00","No-take","Yes","Yes"
"JBMP5-1",-30.32908249,114.9877167,"20031007","Jurien Bay","General Use","5","5","Graham Edgar","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP5-2",-30.32908249,114.9877167,"20031007","Jurien Bay","General Use","5","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP5-3",-30.32908249,114.9877167,"20031007","Jurien Bay","General Use","5","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP5-4",-30.32908249,114.9877167,"20031007","Jurien Bay","General Use","5","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP6-1",-30.29006577,114.9724808,"20031013","Jurien Bay","General Use","6","5","Graham Edgar","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP6-2",-30.29006577,114.9724808,"20031013","Jurien Bay","General Use","6","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP6-3",-30.29006577,114.9724808,"20031013","Jurien Bay","General Use","6","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP6-4",-30.29006577,114.9724808,"20031013","Jurien Bay","General Use","6","5","Neville Barrett","Hill River",2003,"11:00:00","Fished","Yes","Yes"
"JBMP7-1",-30.17124939,114.9554977,"20031011","Jurien Bay","SP Scientific Reference","7","5","Graham Edgar","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP7-2",-30.17124939,114.9554977,"20031011","Jurien Bay","SP Scientific Reference","7","5","Jayson ? (2003 WA)","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP7-3",-30.17124939,114.9554977,"20031011","Jurien Bay","SP Scientific Reference","7","5","Jayson ? (2003 WA)","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP7-4",-30.17124939,114.9554977,"20031011","Jurien Bay","SP Scientific Reference","7","5","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP8-1",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","8","3","Graham Edgar","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP8-2",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","8","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP8-3",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","8","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP8-4",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","8","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP9-1",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","9","3","Graham Edgar","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP9-2",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","9","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP9-3",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","9","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
"JBMP9-4",-30.1340332,114.9489136,"20031012","Jurien Bay","Sanctuary","9","3","Neville Barrett","Fisherman Islands",2003,"11:00:00","No-take","Yes","Yes"
