"Sample","Family","Genus","Species","Count"
"JBMP1-1","Labridae","Coris","auricularis",2
"JBMP1-1","Labridae","Halichoeres","brownfieldi",3
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Pomacentridae","Parma","occidentalis",2
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1
"JBMP1-1","Labridae","Coris","auricularis",10
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Pomacentridae","Parma","occidentalis",2
"JBMP1-1","Apogonidae","Ostorhinchus","victoriae",1
"JBMP1-1","Apogonidae","Ostorhinchus","victoriae",2
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Labridae","Halichoeres","brownfieldi",1
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Notolabrus","parilus",2
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",2
"JBMP1-3","Pomacentridae","Parma","mccullochi",1
"JBMP1-3","Pomacentridae","Parma","mccullochi",2
"JBMP1-3","Labridae","Coris","auricularis",3
"JBMP1-3","Pseudochromidae","Labracinus","lineatus",1
"JBMP1-3","Pomacentridae","Parma","occidentalis",2
"JBMP1-3","Labridae","Pictilabrus","laticlavius",1
"JBMP1-3","Cheilodactylidae","Cheilodactylus","gibbosus",1
"JBMP1-3","Labridae","Bodianus","frenchii",1
"JBMP1-3","Labridae","Austrolabrus","maculatus",1
"JBMP1-3","Labridae","Dotalabrus","alleni",2
"JBMP1-3","Pomacentridae","Parma","mccullochi",2
"JBMP1-3","Labridae","Coris","auricularis",1
"JBMP1-3","Cheilodactylidae","Cheilodactylus","gibbosus",1
"JBMP1-3","Labridae","Austrolabrus","maculatus",1
"JBMP1-3","Labridae","Coris","auricularis",1
"JBMP1-3","Labridae","Halichoeres","brownfieldi",2
"JBMP1-3","Cheilodactylidae","Cheilodactylus","rubrolabiatus",1
"JBMP1-3","Labridae","Thalassoma","septemfasciatum",2
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Pseudochromidae","Labracinus","lineatus",1
"JBMP1-3","Scorpididae","Scorpis","georgiana",1
"JBMP1-3","Pomacentridae","Pomacentrus","milleri",3
"JBMP1-3","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-3","Haemulidae","Plectorhinchus","flavomaculatus",2
"JBMP1-3","Pomacentridae","Parma","occidentalis",3
"JBMP1-3","Kyphosidae","Kyphosus","cornelii",15
"JBMP1-3","Labridae","Thalassoma","septemfasciatum",1
"JBMP1-3","Pomacentridae","Pomacentrus","milleri",2
"JBMP1-4","Labridae","Notolabrus","parilus",1
"JBMP1-4","Labridae","Notolabrus","parilus",1
"JBMP1-4","Pomacentridae","Parma","mccullochi",1
"JBMP1-4","Labridae","Halichoeres","brownfieldi",1
"JBMP1-4","Labridae","Notolabrus","parilus",1
"JBMP10-1","Monacanthidae","Meuschenia","hippocrepis",1
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-1","Labridae","Austrolabrus","maculatus",2
"JBMP10-1","Pomacentridae","Parma","mccullochi",3
"JBMP10-1","Labridae","Coris","auricularis",1
"JBMP10-1","Labridae","Coris","auricularis",1
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",2
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",3
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-1","Labridae","Austrolabrus","maculatus",1
"JBMP10-1","Pomacentridae","Parma","mccullochi",3
"JBMP10-1","Labridae","Coris","auricularis",1
"JBMP10-1","Labridae","Pictilabrus","viridis",1
"JBMP10-1","Labridae","Suezichthys","cyanolaemus",2
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-1","Pomacentridae","Parma","mccullochi",4
"JBMP10-1","Mullidae","Parupeneus","spilurus",1
"JBMP10-1","Labridae","Austrolabrus","maculatus",5
"JBMP10-1","Pomacentridae","Parma","mccullochi",3
"JBMP10-1","Labridae","Coris","auricularis",15
"JBMP10-1","Labridae","Coris","auricularis",10
"JBMP10-1","Labridae","Bodianus","frenchii",1
"JBMP10-1","Labridae","Notolabrus","parilus",2
"JBMP10-1","Labridae","Notolabrus","parilus",1
"JBMP10-1","Scorpididae","Scorpis","georgiana",1
"JBMP10-1","Labridae","Thalassoma","lutescens",1
"JBMP10-1","Labridae","Thalassoma","lutescens",2
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",1
"JBMP10-2","Labridae","Pictilabrus","laticlavius",1
"JBMP10-2","Pomacentridae","Parma","mccullochi",4
"JBMP10-2","Labridae","Coris","auricularis",1
"JBMP10-2","Labridae","Notolabrus","parilus",1
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",3
"JBMP10-2","Labridae","Coris","auricularis",9
"JBMP10-2","Labridae","Notolabrus","parilus",5
"JBMP10-2","Labridae","Austrolabrus","maculatus",1
"JBMP10-2","Labridae","Dotalabrus","alleni",1
"JBMP10-2","Labridae","Coris","auricularis",2
"JBMP10-2","Tetraodontidae","Torquigener","pleurogramma",2
"JBMP10-2","Odacidae","Olisthops","cyanomelas",1
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",4
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-2","Labridae","Coris","auricularis",10
"JBMP10-2","Tetraodontidae","Torquigener","pleurogramma",5
