"Sample","Family","Genus","Species","Count","Length"
"JBMP1-1","Pomacentridae","Parma","mccullochi",2,250
"JBMP1-1","Labridae","Notolabrus","parilus",3,75
"JBMP1-1","Labridae","Notolabrus","parilus",2,150
"JBMP1-1","Labridae","Austrolabrus","maculatus",1,100
"JBMP1-1","Labridae","Coris","auricularis",3,100
"JBMP1-1","Labridae","Halichoeres","brownfieldi",2,125
"JBMP1-1","Labridae","Notolabrus","parilus",3,100
"JBMP1-1","Odacidae","Olisthops","cyanomelas",1,125
"JBMP1-1","Pomacentridae","Parma","mccullochi",2,200
"JBMP1-1","Labridae","Halichoeres","brownfieldi",5,100
"JBMP1-1","Labridae","Notolabrus","parilus",1,50
"JBMP1-1","Labridae","Notolabrus","parilus",2,200
"JBMP1-1","Labridae","Notolabrus","parilus",2,250
"JBMP1-1","Labridae","Notolabrus","parilus",1,300
"JBMP1-1","Pomacentridae","Parma","mccullochi",1,150
"JBMP1-1","Labridae","Halichoeres","brownfieldi",3,75
"JBMP1-1","Labridae","Notolabrus","parilus",1,125
"JBMP1-1","Scorpididae","Scorpis","georgiana",1,250
"JBMP1-2","Enoplosidae","Enoplosus","armatus",1,200
"JBMP1-2","Labridae","Coris","auricularis",9,100
"JBMP1-2","Labridae","Halichoeres","brownfieldi",14,75
"JBMP1-2","Labridae","Notolabrus","parilus",5,100
"JBMP1-2","Labridae","Coris","auricularis",24,75
"JBMP1-2","Labridae","Notolabrus","parilus",4,75
"JBMP1-2","Labridae","Dotalabrus","alleni",1,100
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,200
"JBMP1-2","Serranidae","Epinephelides","armatus",1,150
"JBMP1-2","Labridae","Notolabrus","parilus",2,50
"JBMP1-2","Labridae","Notolabrus","parilus",5,200
"JBMP1-2","Labridae","Notolabrus","parilus",1,250
"JBMP1-2","Labridae","Notolabrus","parilus",3,300
"JBMP1-2","Labridae","Dotalabrus","alleni",2,75
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,75
"JBMP1-2","Pomacentridae","Parma","mccullochi",4,150
"JBMP1-2","Labridae","Pseudolabrus","biserialis",1,100
"JBMP1-2","Labridae","Notolabrus","parilus",4,125
"JBMP1-2","Labridae","Notolabrus","parilus",2,150
"JBMP1-3","Labridae","Coris","auricularis",2,300
"JBMP1-3","Labridae","Halichoeres","brownfieldi",5,100
"JBMP1-3","Labridae","Notolabrus","parilus",2,300
"JBMP1-3","Labridae","Austrolabrus","maculatus",4,100
"JBMP1-3","Labridae","Coris","auricularis",6,100
"JBMP1-3","Labridae","Coris","auricularis",10,125
"JBMP1-3","Labridae","Halichoeres","brownfieldi",13,75
"JBMP1-3","Labridae","Notolabrus","parilus",3,100
"JBMP1-3","Labridae","Notolabrus","parilus",2,125
"JBMP1-3","Labridae","Notolabrus","parilus",1,50
"JBMP1-3","Labridae","Coris","auricularis",4,75
"JBMP1-3","Labridae","Notolabrus","parilus",2,75
"JBMP1-3","Labridae","Notolabrus","parilus",2,150
"JBMP1-4","Labridae","Coris","auricularis",35,125
"JBMP1-4","Labridae","Halichoeres","brownfieldi",22,75
"JBMP1-4","Labridae","Notolabrus","parilus",3,125
"JBMP1-4","Labridae","Halichoeres","brownfieldi",3,100
"JBMP1-4","Labridae","Coris","auricularis",35,100
"JBMP1-4","Labridae","Notolabrus","parilus",5,100
