"Sample","Family","Genus","Species","Count","Length"
"JBMP1-1","Labridae","Coris","auricularis",3,100
"JBMP1-1","Labridae","Coris","auricularis",10,125
"JBMP1-1","Haemulidae","Plectorhinchus","flavomaculatus",1,300
"JBMP1-1","Pomacentridae","Parma","occidentalis",2,100
"JBMP1-1","Labridae","Coris","auricularis",28,25
"JBMP1-1","Labridae","Coris","auricularis",4,250
"JBMP1-1","Labridae","Notolabrus","parilus",4,250
"JBMP1-1","Labridae","Notolabrus","parilus",1,300
"JBMP1-1","Labridae","Choerodon","rubescens",1,200
"JBMP1-1","Pomacentridae","Pomacentrus","milleri",2,75
"JBMP1-1","Pinguipedidae","Parapercis","haackei",1,100
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1,75
"JBMP1-1","Labridae","Halichoeres","brownfieldi",2,150
"JBMP1-1","Nemipteridae","Pentapodus","vitta",2,250
"JBMP1-1","Labridae","Coris","auricularis",8,150
"JBMP1-1","Labridae","Notolabrus","parilus",2,125
"JBMP1-1","Labridae","Notolabrus","parilus",1,150
"JBMP1-1","Haemulidae","Plectorhinchus","flavomaculatus",2,350
"JBMP1-1","Chaetodontidae","Chaetodon","assarius",1,75
"JBMP1-1","Labridae","Halichoeres","brownfieldi",4,125
"JBMP1-1","Pseudochromidae","Labracinus","lineatus",1,200
"JBMP1-1","Labridae","Coris","auricularis",30,50
"JBMP1-1","Labridae","Coris","auricularis",12,200
"JBMP1-1","Pomacentridae","Parma","occidentalis",1,200
"JBMP1-1","Pomacentridae","Parma","occidentalis",1,250
"JBMP1-1","Kyphosidae","Kyphosus","cornelii",1,300
"JBMP1-1","Pomacentridae","Pomacentrus","milleri",3,25
"JBMP1-1","Labridae","Halichoeres","brownfieldi",12,25
"JBMP1-1","Labridae","Halichoeres","brownfieldi",7,50
"JBMP1-2","Labridae","Notolabrus","parilus",2,250
"JBMP1-2","Haemulidae","Plectorhinchus","flavomaculatus",1,350
"JBMP1-2","Kyphosidae","Kyphosus","cornelii",1,350
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",4,25
"JBMP1-2","Labridae","Halichoeres","brownfieldi",4,75
"JBMP1-2","Labridae","Coris","auricularis",4,125
"JBMP1-2","Labridae","Notolabrus","parilus",2,125
"JBMP1-2","Pomacentridae","Parma","occidentalis",1,100
"JBMP1-2","Labridae","Coris","auricularis",6,75
"JBMP1-2","Labridae","Coris","auricularis",3,150
"JBMP1-2","Tetraodontidae","Torquigener","pleurogramma",1,125
"JBMP1-2","Pomacentridae","Parma","occidentalis",2,125
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",6,75
"JBMP1-2","Labridae","Halichoeres","brownfieldi",6,125
"JBMP1-2","Labridae","Halichoeres","brownfieldi",2,150
"JBMP1-2","Labridae","Notolabrus","parilus",3,100
"JBMP1-2","Labridae","Notolabrus","parilus",2,200
"JBMP1-2","Labridae","Thalassoma","lutescens",1,100
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",2,50
"JBMP1-2","Pseudochromidae","Labracinus","lineatus",1,150
"JBMP1-3","Labridae","Coris","auricularis",4,125
"JBMP1-3","Labridae","Coris","auricularis",4,150
"JBMP1-3","Labridae","Coris","auricularis",3,200
"JBMP1-3","Labridae","Notolabrus","parilus",2,125
"JBMP1-3","Labridae","Notolabrus","parilus",1,200
"JBMP1-3","Pomacentridae","Parma","occidentalis",1,100
"JBMP1-3","Pomacentridae","Parma","occidentalis",3,125
"JBMP1-3","Pinguipedidae","Parapercis","haackei",2,50
"JBMP1-3","Labridae","Halichoeres","brownfieldi",2,100
"JBMP1-3","Labridae","Halichoeres","brownfieldi",1,125
"JBMP1-3","Labridae","Coris","auricularis",22,25
"JBMP1-3","Pomacentridae","Pomacentrus","milleri",1,75
"JBMP1-3","Labridae","Halichoeres","brownfieldi",2,75
"JBMP1-3","Labridae","Halichoeres","brownfieldi",1,150
"JBMP1-3","Labridae","Thalassoma","septemfasciatum",1,200
"JBMP1-3","Labridae","Coris","auricularis",2,100
"JBMP1-3","Labridae","Notolabrus","parilus",3,100
"JBMP1-3","Haemulidae","Plectorhinchus","flavomaculatus",1,250
"JBMP1-3","Labridae","Halichoeres","brownfieldi",3,50
"JBMP1-3","Odacidae","Olisthops","cyanomelas",1,250
"JBMP1-4","Labridae","Coris","auricularis",30,125
"JBMP1-4","Labridae","Notolabrus","parilus",4,125
"JBMP1-4","Pomacentridae","Parma","occidentalis",2,100
"JBMP1-4","Labridae","Choerodon","rubescens",1,100
"JBMP1-4","Pomacentridae","Pomacentrus","milleri",4,100
"JBMP1-4","Pinguipedidae","Parapercis","haackei",1,50
"JBMP1-4","Labridae","Coris","auricularis",1,50
"JBMP1-4","Labridae","Coris","auricularis",1,300
"JBMP1-4","Labridae","Notolabrus","parilus",1,250
"JBMP1-4","Labridae","Notolabrus","parilus",1,300
"JBMP1-4","Labridae","Choerodon","rubescens",1,150
"JBMP1-4","Labridae","Choerodon","rubescens",1,200
"JBMP1-4","Labridae","Halichoeres","brownfieldi",4,25
"JBMP1-4","Labridae","Halichoeres","brownfieldi",4,75
"JBMP1-4","Labridae","Coris","auricularis",2,75
"JBMP1-4","Labridae","Coris","auricularis",4,150
"JBMP1-4","Labridae","Notolabrus","parilus",1,150
"JBMP1-4","Pomacentridae","Parma","occidentalis",2,125
"JBMP1-4","Pomacentridae","Pomacentrus","milleri",6,75
"JBMP1-4","Labridae","Thalassoma","septemfasciatum",1,200
"JBMP1-4","Nemipteridae","Pentapodus","vitta",1,125
"JBMP1-4","Labridae","Coris","auricularis",15,100
"JBMP1-4","Labridae","Notolabrus","parilus",5,100
"JBMP1-4","Labridae","Choerodon","rubescens",1,300
"JBMP1-4","Pomacentridae","Pomacentrus","milleri",3,50
"JBMP1-4","Labridae","Halichoeres","brownfieldi",18,50
"JBMP10-1","Labridae","Austrolabrus","maculatus",1,125
"JBMP10-1","Pomacentridae","Parma","mccullochi",4,150
"JBMP10-1","Pomacentridae","Parma","mccullochi",16,200
"JBMP10-1","Labridae","Coris","auricularis",18,125
"JBMP10-1","Labridae","Coris","auricularis",2,150
"JBMP10-1","Labridae","Notolabrus","parilus",1,200
"JBMP10-1","Kyphosidae","Kyphosus","cornelii",25,400
"JBMP10-1","Labridae","Thalassoma","lutescens",3,150
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1,100
"JBMP10-1","Labridae","Pseudolabrus","biserialis",1,150
"JBMP10-1","Serranidae","Epinephelides","armatus",1,150
"JBMP10-1","Serranidae","Epinephelides","armatus",1,200
"JBMP10-1","Labridae","Notolabrus","parilus",1,250
"JBMP10-1","Labridae","Notolabrus","parilus",1,300
"JBMP10-1","Kyphosidae","Kyphosus","cornelii",27,250
"JBMP10-1","Kyphosidae","Kyphosus","cornelii",30,300
"JBMP10-1","Chaetodontidae","Chaetodon","assarius",1,50
"JBMP10-1","Kyphosidae","Kyphosus","sydneyanus",2,500
"JBMP10-1","Labridae","Austrolabrus","maculatus",1,100
"JBMP10-1","Pomacentridae","Parma","mccullochi",1,100
"JBMP10-1","Pomacentridae","Parma","mccullochi",1,125
"JBMP10-1","Labridae","Coris","auricularis",17,100
"JBMP10-1","Labridae","Notolabrus","parilus",2,100
"JBMP10-1","Kyphosidae","Kyphosus","cornelii",4,200
"JBMP10-1","Labridae","Thalassoma","lutescens",1,125
"JBMP10-1","Labridae","Anampses","geographicus",4,200
"JBMP10-1","Labridae","Choerodon","rubescens",1,400
"JBMP10-1","Pseudochromidae","Labracinus","lineatus",1,150
"JBMP10-1","Odacidae","Olisthops","cyanomelas",1,200
"JBMP10-1","Pomacentridae","Parma","mccullochi",13,250
"JBMP10-1","Labridae","Coris","auricularis",16,75
"JBMP10-1","Labridae","Coris","auricularis",4,250
"JBMP10-1","Labridae","Coris","auricularis",1,300
"JBMP10-1","Serranidae","Epinephelides","armatus",1,125
"JBMP10-1","Pomacentridae","Parma","occidentalis",2,150
"JBMP10-1","Labridae","Thalassoma","lutescens",1,50
"JBMP10-1","Labridae","Thalassoma","lutescens",7,200
"JBMP10-1","Labridae","Anampses","geographicus",9,150
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",1,75
"JBMP10-2","Pomacentridae","Parma","mccullochi",2,100
"JBMP10-2","Kyphosidae","Kyphosus","cornelii",39,250
"JBMP10-2","Kyphosidae","Kyphosus","cornelii",55,300
"JBMP10-2","Labridae","Austrolabrus","maculatus",1,125
