"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186,114.99873,"20181113","Jurien Marine Park","Sanctuary","1","2","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186,114.99873,"20181113","Jurien Marine Park","Sanctuary","1","2","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186,114.99873,"20181113","Jurien Marine Park","Sanctuary","1","2","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186,114.99873,"20181113","Jurien Marine Park","Sanctuary","1","2","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP10-1",-30.2645,114.975,"20181118","Jurien Marine Park","General Use","10","6","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP10-2",-30.2645,114.975,"20181118","Jurien Marine Park","General Use","10","6","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP10-3",-30.2645,114.975,"20181118","Jurien Marine Park","General Use","10","6","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP10-4",-30.2645,114.975,"20181118","Jurien Marine Park","General Use","10","6","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP12-1",-30.181365,114.99295,"20181108","Jurien Marine Park","General Use","12","2","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.181365,114.99295,"20181108","Jurien Marine Park","General Use","12","2","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.181365,114.99295,"20181108","Jurien Marine Park","General Use","12","2","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.181365,114.99295,"20181108","Jurien Marine Park","General Use","12","2","Ben Jones","Fisherman Islands",2018,"11:00:00","Fished","Yes","Yes"
"JBMP13-1",-30.226833,114.993515,"20181108","Jurien Marine Park","Sanctuary","13","4","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP13-2",-30.226833,114.993515,"20181108","Jurien Marine Park","Sanctuary","13","4","Paul Day","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP13-3",-30.226833,114.993515,"20181108","Jurien Marine Park","Sanctuary","13","4","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP13-4",-30.226833,114.993515,"20181108","Jurien Marine Park","Sanctuary","13","4","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.156784,114.96685,"20181118","Jurien Marine Park","SP Scientific Reference","15","5","Ben Jones","Fisherman Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.156784,114.96685,"20181118","Jurien Marine Park","SP Scientific Reference","15","5","Ben Jones","Fisherman Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.156784,114.96685,"20181118","Jurien Marine Park","SP Scientific Reference","15","5","Ben Jones","Fisherman Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.156784,114.96685,"20181118","Jurien Marine Park","SP Scientific Reference","15","5","Ben Jones","Fisherman Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP16-1",-30.668849,115.121932,"20181114","Jurien Marine Park","SP Scientific Reference","16","3","Paul Day",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP16-2",-30.668849,115.121932,"20181114","Jurien Marine Park","SP Scientific Reference","16","3","Ben Jones",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP16-3",-30.668849,115.121932,"20181114","Jurien Marine Park","SP Scientific Reference","16","3","Ben Jones",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP16-4",-30.668849,115.121932,"20181114","Jurien Marine Park","SP Scientific Reference","16","3","Ben Jones",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP18-1",-30.75415,115.169563,"20181109","Jurien Marine Park","Sanctuary","18","4","Ben Jones","Target Rock",2018,"11:00:00","No-take","Yes","Yes"
"JBMP18-2",-30.75415,115.169563,"20181109","Jurien Marine Park","Sanctuary","18","4","Ben Jones","Target Rock",2018,"11:00:00","No-take","Yes","Yes"
"JBMP18-3",-30.75415,115.169563,"20181109","Jurien Marine Park","Sanctuary","18","4","Ben Jones","Target Rock",2018,"11:00:00","No-take","Yes","Yes"
"JBMP18-4",-30.75415,115.169563,"20181109","Jurien Marine Park","Sanctuary","18","4","Ben Jones","Target Rock",2018,"11:00:00","No-take","Yes","Yes"
"JBMP19-1",-30.709283,115.118064,"20181116","Jurien Marine Park","SP Scientific Reference","19","4","Paul Day","Green Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP19-2",-30.709283,115.118064,"20181116","Jurien Marine Park","SP Scientific Reference","19","4","Ben Jones","Green Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP19-3",-30.709283,115.118064,"20181116","Jurien Marine Park","SP Scientific Reference","19","4","Ben Jones","Green Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP19-4",-30.709283,115.118064,"20181116","Jurien Marine Park","SP Scientific Reference","19","4","Ben Jones","Green Islands",2018,"11:00:00","No-take","Yes","Yes"
"JBMP2-1",-30.215232,114.992065,"20181108","Jurien Marine Park","Sanctuary","2","5","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP2-2",-30.215232,114.992065,"20181108","Jurien Marine Park","Sanctuary","2","5","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP2-3",-30.215232,114.992065,"20181108","Jurien Marine Park","Sanctuary","2","5","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP2-4",-30.215232,114.992065,"20181108","Jurien Marine Park","Sanctuary","2","5","Ben Jones","North Head",2018,"11:00:00","No-take","Yes","Yes"
"JBMP20-1",-30.722032,115.150703,"20181116","Jurien Marine Park","SP Scientific Reference","20","4","Ben Jones",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP20-2",-30.722032,115.150703,"20181116","Jurien Marine Park","SP Scientific Reference","20","4","Paul Day",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP20-3",-30.722032,115.150703,"20181116","Jurien Marine Park","SP Scientific Reference","20","4","Ben Jones",NA,2018,"11:00:00","No-take","Yes","Yes"
"JBMP20-4",-30.722032,115.150703,"20181116","Jurien Marine Park","SP Scientific Reference","20","4","Paul Day",NA,2018,"11:00:00","No-take","Yes","Yes"
