"Sample","Family","Genus","Species","Count"
"JBMP1-4","Serranidae","Hypoplectrodes","nigroruber",1
"JBMP1-4","Mullidae","Parupeneus","spilurus",1
"JBMP1-4","Pomacentridae","Parma","mccullochi",1
"JBMP1-4","Labridae","Coris","auricularis",8
"JBMP1-4","Labridae","Halichoeres","brownfieldi",12
"JBMP1-4","Labridae","Notolabrus","parilus",2
"JBMP1-4","Ostraciidae","Aracana","aurita",1
"JBMP1-4","Labridae","Ophthalmolepis","lineolatus",1
"JBMP1-4","Pomacentridae","Parma","mccullochi",3
"JBMP1-4","Pomacentridae","Parma","mccullochi",2
"JBMP1-4","Labridae","Coris","auricularis",3
"JBMP1-4","Labridae","Coris","auricularis",1
"JBMP1-4","Labridae","Coris","auricularis",2
"JBMP1-4","Labridae","Halichoeres","brownfieldi",1
"JBMP1-4","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-4","Chaetodontidae","Chelmonops","curiosus",1
"JBMP1-4","Ostraciidae","Anoplocapros","amygdaloides",1
"JBMP1-4","Labridae","Notolabrus","parilus",2
"JBMP1-4","Labridae","Notolabrus","parilus",2
"JBMP1-4","Labridae","Notolabrus","parilus",1
"JBMP10-1","Pempherididae","Pempheris","multiradiata",1
"JBMP10-1","Kyphosidae","Kyphosus","sydneyanus",4
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-1","Pomacentridae","Parma","mccullochi",2
"JBMP10-1","Labridae","Coris","auricularis",6
"JBMP10-1","Labridae","Coris","auricularis",6
"JBMP10-1","Labridae","Coris","auricularis",3
"JBMP10-1","Labridae","Notolabrus","parilus",2
"JBMP10-1","Labridae","Anampses","geographicus",1
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",5
"JBMP10-1","Labridae","Dotalabrus","alleni",1
"JBMP10-1","Carangidae","Pseudocaranx","georgianus",8
"JBMP10-1","Labridae","Austrolabrus","maculatus",1
"JBMP10-1","Pomacentridae","Parma","mccullochi",5
"JBMP10-1","Labridae","Coris","auricularis",1
"JBMP10-1","Labridae","Halichoeres","brownfieldi",1
"JBMP10-1","Labridae","Pseudolabrus","biserialis",2
"JBMP10-1","Labridae","Thalassoma","lutescens",2
"JBMP10-1","Labridae","Pictilabrus","laticlavius",1
"JBMP10-1","Labridae","Austrolabrus","maculatus",2
"JBMP10-1","Pomacentridae","Parma","mccullochi",3
"JBMP10-1","Labridae","Coris","auricularis",17
"JBMP10-1","Labridae","Halichoeres","brownfieldi",2
"JBMP10-1","Serranidae","Epinephelides","armatus",1
"JBMP10-1","Labridae","Notolabrus","parilus",1
"JBMP10-1","Labridae","Notolabrus","parilus",1
"JBMP10-1","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP10-1","Scorpididae","Scorpis","georgiana",1
"JBMP10-1","Labridae","Thalassoma","lutescens",1
"JBMP10-1","Labridae","Thalassoma","lutescens",4
"JBMP10-1","Glaucosomatidae","Glaucosoma","hebraicum",1
"JBMP10-1","Kyphosidae","Girella","tephraeops",1
"JBMP10-2","Carangidae","Pseudocaranx","georgianus",4
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-2","Mullidae","Parupeneus","spilurus",2
"JBMP10-2","Labridae","Coris","auricularis",61
"JBMP10-2","Labridae","Halichoeres","brownfieldi",1
"JBMP10-2","Labridae","Notolabrus","parilus",2
"JBMP10-2","Kyphosidae","Kyphosus","cornelii",3
"JBMP10-2","Labridae","Thalassoma","lutescens",3
"JBMP10-2","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP10-2","Labridae","Austrolabrus","maculatus",4
"JBMP10-2","Labridae","Austrolabrus","maculatus",1
"JBMP10-2","Labridae","Notolabrus","parilus",1
"JBMP10-2","Labridae","Anampses","geographicus",2
"JBMP10-2","Pomacentridae","Parma","mccullochi",7
"JBMP10-2","Labridae","Coris","auricularis",4
"JBMP10-2","Labridae","Coris","auricularis",1
"JBMP10-2","Labridae","Halichoeres","brownfieldi",1
"JBMP10-2","Labridae","Pseudolabrus","biserialis",5
"JBMP10-2","Labridae","Pseudolabrus","biserialis",1
"JBMP10-2","Serranidae","Epinephelides","armatus",1
"JBMP10-2","Labridae","Notolabrus","parilus",1
"JBMP10-2","Labridae","Pictilabrus","laticlavius",1
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-2","Labridae","Austrolabrus","maculatus",1
"JBMP10-2","Labridae","Austrolabrus","maculatus",1
"JBMP10-2","Pomacentridae","Parma","mccullochi",4
"JBMP10-2","Pomacentridae","Parma","mccullochi",5
"JBMP10-2","Labridae","Coris","auricularis",4
"JBMP10-2","Labridae","Halichoeres","brownfieldi",5
"JBMP10-2","Labridae","Notolabrus","parilus",4
"JBMP10-2","Scorpididae","Scorpis","georgiana",1
