"Sample","Family","Genus","Species","Count","Length"
"JBMP1-1","Labridae","Coris","auricularis",3,25
"JBMP1-1","Labridae","Coris","auricularis",2,250
"JBMP1-1","Labridae","Halichoeres","brownfieldi",2,100
"JBMP1-1","Labridae","Notolabrus","parilus",1,300
"JBMP1-1","Scorpididae","Scorpis","georgiana",1,350
"JBMP1-1","Apogonidae","Ostorhinchus","victoriae",2,100
"JBMP1-1","Labridae","Coris","auricularis",3,150
"JBMP1-1","Labridae","Coris","auricularis",21,200
"JBMP1-1","Labridae","Coris","auricularis",3,100
"JBMP1-1","Labridae","Halichoeres","brownfieldi",10,75
"JBMP1-1","Labridae","Notolabrus","parilus",3,100
"JBMP1-1","Haemulidae","Plectorhinchus","flavomaculatus",4,250
"JBMP1-1","Haemulidae","Plectorhinchus","flavomaculatus",1,300
"JBMP1-1","Scorpididae","Scorpis","georgiana",1,300
"JBMP1-1","Labridae","Coris","auricularis",3,300
"JBMP1-1","Labridae","Notolabrus","parilus",2,75
"JBMP1-2","Mullidae","Parupeneus","spilurus",1,150
"JBMP1-2","Labridae","Austrolabrus","maculatus",1,125
"JBMP1-2","Pomacentridae","Parma","mccullochi",3,75
"JBMP1-2","Pomacentridae","Parma","mccullochi",3,150
"JBMP1-2","Labridae","Coris","auricularis",1,75
"JBMP1-2","Labridae","Coris","auricularis",1,200
"JBMP1-2","Labridae","Pictilabrus","viridis",1,125
"JBMP1-2","Labridae","Notolabrus","parilus",5,125
"JBMP1-2","Labridae","Notolabrus","parilus",2,150
"JBMP1-2","Labridae","Notolabrus","parilus",3,200
"JBMP1-2","Pomacentridae","Parma","occidentalis",3,125
"JBMP1-2","Apogonidae","Ostorhinchus","victoriae",1,75
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,50
"JBMP1-2","Haemulidae","Plectorhinchus","flavomaculatus",1,375
"JBMP1-2","Apogonidae","Ostorhinchus","victoriae",3,100
"JBMP1-2","Pempherididae","Pempheris","klunzingeri",1,100
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,125
"JBMP1-2","Labridae","Coris","auricularis",8,100
"JBMP1-2","Labridae","Coris","auricularis",10,125
