OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
NMP_20190730_MI1_DOV	0	0	0.00000	0	MI01_L001_1.MP4	81122	59.94006
NMP_20190730_MI1_DOV	0	0	0.00000	0	MI01_L001_2.MP4	30270	59.94006
NMP_20190730_MI1_DOV	1	0	0.00000	0	MI01_R002_1.MP4	81122	59.94006
NMP_20190730_MI1_DOV	1	0	0.00000	0	MI01_R002_2.MP4	31860	59.94006
NMP_20190730_MI2_DOV	0	0	0.00000	0	MI02_L001_3.MP4	81122	59.94006
NMP_20190730_MI2_DOV	0	0	0.00000	0	MI02_L001_4.MP4	24300	59.94006
NMP_20190730_MI2_DOV	1	0	0.00000	0	MI02_R002_3.MP4	81122	59.94006
NMP_20190730_MI2_DOV	1	0	0.00000	0	MI02_R002_4.MP4	22080	59.94006
NMP_20190730_MI3_DOV	0	0	0.00000	0	MI03_L001_5.MP4	81122	59.94006
NMP_20190730_MI3_DOV	0	0	0.00000	0	MI03_L001_6.MP4	12300	59.94006
NMP_20190730_MI3_DOV	1	0	0.00000	0	MI03_R002_5.MP4	81122	59.94006
NMP_20190730_MI3_DOV	1	0	0.00000	0	MI03_R002_6.MP4	13200	59.94006
NMP_20190730_MI4_DOV	0	0	0.00000	0	MI04_L001_7.MP4	81122	59.94006
NMP_20190730_MI4_DOV	0	0	0.00000	0	MI04_L001_8.MP4	18840	59.94006
NMP_20190730_MI4_DOV	1	0	0.00000	0	MI04_R002_7.MP4	81122	59.94006
NMP_20190730_MI4_DOV	1	0	0.00000	0	MI04_R002_8.MP4	12540	59.94006
NMP_20190731_B1_DOV	0	0	0.00000	0	B01_L001_6.MP4	81122	59.94006
NMP_20190731_B1_DOV	0	0	0.00000	0	B01_L001_7.MP4	26580	59.94006
NMP_20190731_B1_DOV	1	0	0.00000	0	B01_R002_5.MP4	81122	59.94006
NMP_20190731_B1_DOV	1	0	0.00000	0	B01_R002_6.MP4	30360	59.94006
NMP_20190731_B2_DOV	0	0	0.00000	0	B02_L001_8.MP4	81122	59.94006
NMP_20190731_B2_DOV	0	0	0.00000	0	B02_L001_9.MP4	44610	59.94006
NMP_20190731_B2_DOV	1	0	0.00000	0	B02_R002_7.MP4	81122	59.94006
NMP_20190731_B2_DOV	1	0	0.00000	0	B02_R002_8.MP4	39600	59.94006
NMP_20190731_L1_DOV	0	0	0.00000	0	L01_L001_1.MP4	81122	59.94006
NMP_20190731_L1_DOV	0	0	0.00000	0	L01_L001_2.MP4	52020	59.94006
NMP_20190731_L1_DOV	1	0	0.00000	0	L01_R002_1.MP4	81122	59.94006
NMP_20190731_L1_DOV	1	0	0.00000	0	L01_R002_2.MP4	48390	59.94006
NMP_20190731_L2_DOV	0	0	0.00000	0	L02_L001_3.MP4	81122	59.94006
NMP_20190731_L2_DOV	0	0	0.00000	0	L02_L001_4.MP4	45630	59.94006
NMP_20190731_L2_DOV	0	0	0.00000	0	L02_L001_5.MP4	62	59.94006
NMP_20190731_L2_DOV	1	0	0.00000	0	L02_R002_3.MP4	81122	59.94006
NMP_20190731_L2_DOV	1	0	0.00000	0	L02_R002_4.MP4	45000	59.94006
NMP_20190801_B3_DOV	0	0	0.00000	0	B03_L001_3.MP4	81122	59.94006
NMP_20190801_B3_DOV	0	0	0.00000	0	B03_L001_4.MP4	28500	59.94006
NMP_20190801_B3_DOV	1	0	0.00000	0	B03_R002_3.MP4	81122	59.94006
NMP_20190801_B3_DOV	1	0	0.00000	0	B03_R002_4.MP4	30390	59.94006
NMP_20190801_B4_DOV	0	0	0.00000	0	B04_L001_1.MP4	81120	59.94018
NMP_20190801_B4_DOV	0	0	0.00000	0	B04_L001_2.MP4	8730	59.94018
NMP_20190801_B4_DOV	1	0	0.00000	0	B04_R002_1.MP4	81120	59.94018
NMP_20190801_B4_DOV	1	0	0.00000	0	B04_R002_2.MP4	12301	59.94018
NMP_20190802_M1_DOV	0	0	0.00000	0	M01_L001_3.MP4	81122	59.94006
NMP_20190802_M1_DOV	0	0	0.00000	0	M01_L001_4.MP4	34290	59.94006
NMP_20190802_M1_DOV	1	0	0.00000	0	M01_R002_3.MP4	81122	59.94006
NMP_20190802_M1_DOV	1	0	0.00000	0	M01_R002_4.MP4	32790	59.94006
NMP_20190802_M3_DOV	0	0	0.00000	0	M03_L001_1.MP4	81120	59.94018
NMP_20190802_M3_DOV	0	0	0.00000	0	M03_L001_2.MP4	73321	59.94018
NMP_20190802_M3_DOV	1	0	0.00000	0	M03_R002_1.MP4	81120	59.94018
NMP_20190802_M3_DOV	1	0	0.00000	0	M03_R002_2.MP4	75601	59.94018
NMP_20190803_MB1_DOV	0	0	0.00000	0	MB1_L001_5.MP4	81122	59.94006
NMP_20190803_MB1_DOV	0	0	0.00000	0	MB1_L001_6.MP4	58440	59.94006
NMP_20190803_MB1_DOV	1	0	0.00000	0	MB1_R002_7.MP4	81122	59.94006
NMP_20190803_MB1_DOV	1	0	0.00000	0	MB1_R002_8.MP4	59430	59.94006
NMP_20190803_MB2_DOV	0	0	0.00000	0	MB2_L001_3.MP4	81122	59.94006
NMP_20190803_MB2_DOV	0	0	0.00000	0	MB2_L001_4.MP4	40890	59.94006
NMP_20190803_MB2_DOV	1	0	0.00000	0	MB2_R002_5.MP4	81122	59.94006
NMP_20190803_MB2_DOV	1	0	0.00000	0	MB2_R002_6.MP4	34500	59.94006
NMP_20190803_MB5_DOV	0	0	0.00000	0	MB5_L001_7.MP4	81122	59.94006
NMP_20190803_MB5_DOV	0	0	0.00000	0	MB5_L001_8.MP4	39660	59.94006
NMP_20190803_MB5_DOV	1	0	0.00000	0	MB5_R002_10.MP4	43560	59.94006
NMP_20190803_MB5_DOV	1	0	0.00000	0	MB5_R002_9.MP4	81122	59.94006
NMP_20190803_T1_DOV	0	0	0.00000	0	T1_L001_4.MP4	81122	59.94006
NMP_20190803_T1_DOV	0	0	0.00000	0	T1_L001_5.MP4	25380	59.94006
NMP_20190803_T1_DOV	1	0	0.00000	0	T1_R002_3.MP4	81122	59.94006
NMP_20190803_T1_DOV	1	0	0.00000	0	T1_R002_4.MP4	26940	59.94006
NMP_20190803_T2_DOV	0	0	0.00000	0	T2_L001_1.MP4	81062	59.94006
NMP_20190803_T2_DOV	0	0	0.00000	0	T2_L001_2.MP4	81121	59.94006
NMP_20190803_T2_DOV	0	0	0.00000	0	T2_L001_3.MP4	4201	59.94006
NMP_20190803_T2_DOV	1	0	0.00000	0	T2_R002_1.MP4	81062	59.94006
NMP_20190803_T2_DOV	1	0	0.00000	0	T2_R002_2.MP4	76861	59.94006
NMP_20190804_CB1_DOV	0	0	0.00000	0	CB1_L001_3.MP4	81122	59.94006
NMP_20190804_CB1_DOV	0	0	0.00000	0	CB1_L001_4.MP4	28470	59.94006
NMP_20190804_CB1_DOV	1	0	0.00000	0	CB1_R002_4.MP4	81122	59.94006
NMP_20190804_CB1_DOV	1	0	0.00000	0	CB1_R002_5.MP4	29910	59.94006
NMP_20190804_CB2_DOV	0	0	0.00000	0	CB2_L001_1.MP4	81060	59.94018
NMP_20190804_CB2_DOV	0	0	0.00000	0	CB2_L001_2.MP4	20311	59.94018
NMP_20190804_CB2_DOV	1	0	0.00000	0	CB2_R002_2.MP4	81120	59.94018
NMP_20190804_CB2_DOV	1	0	0.00000	0	CB2_R002_3.MP4	16051	59.94018
NMP_20190805_O3_DOV	0	0	0.00000	0	O3_L001_3.MP4	81120	59.94018
NMP_20190805_O3_DOV	0	0	0.00000	0	O3_L001_4.MP4	49381	59.94018
NMP_20190805_O3_DOV	1	0	0.00000	0	O3_R002_3.MP4	81120	59.94018
NMP_20190805_O3_DOV	1	0	0.00000	0	O3_R002_4.MP4	48151	59.94018
NMP_20190805_O4_DOV	0	0	0.00000	0	O4_L001_1.MP4	81122	59.94006
NMP_20190805_O4_DOV	0	0	0.00000	0	O4_L001_2.MP4	6480	59.94006
NMP_20190805_O4_DOV	1	0	0.00000	0	O4_R002_1.MP4	81122	59.94006
NMP_20190805_O4_DOV	1	0	0.00000	0	O4_R002_2.MP4	6000	59.94006
NMP_20190806_CB3_DOV	0	0	0.00000	0	CB3_L001_10.MP4	16560	59.94006
NMP_20190806_CB3_DOV	0	0	0.00000	0	CB3_L001_9.MP4	81122	59.94006
NMP_20190806_CB3_DOV	1	0	0.00000	0	CB3_R002_8.MP4	81122	59.94006
NMP_20190806_CB3_DOV	1	0	0.00000	0	CB3_R002_9.MP4	16020	59.94006
NMP_20190806_CB5_DOV	0	0	0.00000	0	CB5_L001_6.MP4	81120	59.94018
NMP_20190806_CB5_DOV	0	0	0.00000	0	CB5_L001_7.MP4	11761	59.94018
NMP_20190806_CB5_DOV	1	0	0.00000	0	CB5_R002_6.MP4	81120	59.94018
NMP_20190806_CB5_DOV	1	0	0.00000	0	CB5_R002_7.MP4	9060	59.94018
NMP_20190806_P2_DOV	0	0	0.00000	0	P2_L001_1.MP4	81122	59.94006
NMP_20190806_P2_DOV	0	0	0.00000	0	P2_L001_2.MP4	20520	59.94006
NMP_20190806_P2_DOV	1	0	0.00000	0	P2_R002_1.MP4	81122	59.94006
NMP_20190806_P2_DOV	1	0	0.00000	0	P2_R002_2.MP4	26700	59.94006
NMP_20190806_P3_DOV	0	0	0.00000	0	P3_L001_3.MP4	81122	59.94006
NMP_20190806_P3_DOV	0	0	0.00000	0	P3_L001_4.MP4	81060	59.94006
NMP_20190806_P3_DOV	1	0	0.00000	0	P3_R002_3.MP4	81122	59.94006
NMP_20190806_P3_DOV	1	0	0.00000	0	P3_R002_4.MP4	81120	59.94006
NMP_20190831_CL4_DOV	0	0	0.00000	0	CL4_L001_1.MP4	81122	59.94006
NMP_20190831_CL4_DOV	0	0	0.00000	0	CL4_L001_2.MP4	28830	59.94006
NMP_20190831_CL4_DOV	1	0	0.00000	0	CL4_R002_1.MP4	81122	59.94006
NMP_20190831_CL4_DOV	1	0	0.00000	0	CL4_R002_2.MP4	26820	59.94006
NMP_20190831_W1_DOV	0	0	0.00000	0	W1_L001_3.MP4	81122	59.94006
NMP_20190831_W1_DOV	0	0	0.00000	0	W1_L001_4.MP4	28650	59.94006
NMP_20190831_W1_DOV	1	0	0.00000	0	W1_R002_3.MP4	81122	59.94006
NMP_20190831_W1_DOV	1	0	0.00000	0	W1_R002_4.MP4	28080	59.94006
NMP_20190831_W2_DOV	0	0	0.00000	0	W2_L001_5.MP4	81122	59.94006
NMP_20190831_W2_DOV	0	0	0.00000	0	W2_L001_6.MP4	31800	59.94006
NMP_20190831_W2_DOV	1	0	0.00000	0	W2_R002_5.MP4	81122	59.94006
NMP_20190831_W2_DOV	1	0	0.00000	0	W2_R002_6.MP4	28620	59.94006
NMP_20190901_CL2_DOV	0	0	0.00000	0	CL2_L001_5.MP4	81122	59.94006
NMP_20190901_CL2_DOV	0	0	0.00000	0	CL2_L001_6.MP4	38850	59.94006
NMP_20190901_CL2_DOV	1	0	0.00000	0	CL2_R002_5.MP4	81122	59.94006
NMP_20190901_CL2_DOV	1	0	0.00000	0	CL2_R002_6.MP4	34590	59.94006
NMP_20190901_CL3_DOV	0	0	0.00000	0	CL3_L001_3.MP4	81122	59.94006
NMP_20190901_CL3_DOV	0	0	0.00000	0	CL3_L001_4.MP4	25680	59.94006
NMP_20190901_CL3_DOV	1	0	0.00000	0	CL3_R002_3.MP4	81122	59.94006
NMP_20190901_CL3_DOV	1	0	0.00000	0	CL3_R002_4.MP4	24900	59.94006
NMP_20190901_CL5_DOV	0	0	0.00000	0	CL5_L001_1.MP4	81122	59.94006
NMP_20190901_CL5_DOV	0	0	0.00000	0	CL5_L001_2.MP4	55800	59.94006
NMP_20190901_CL5_DOV	1	0	0.00000	0	CL5_R002_1.MP4	81122	59.94006
NMP_20190901_CL5_DOV	1	0	0.00000	0	CL5_R002_2.MP4	50400	59.94006
NMP_20190902_CF1_DOV	0	0	0.00000	0	CF1_L001_1.MP4	81122	59.94006
NMP_20190902_CF1_DOV	0	0	0.00000	0	CF1_L001_2.MP4	21780	59.94006
NMP_20190902_CF1_DOV	1	0	0.00000	0	CF1_R002_1.MP4	81122	59.94006
NMP_20190902_CF1_DOV	1	0	0.00000	0	CF1_R002_2.MP4	18210	59.94006
NMP_20190902_CF2_DOV	0	0	0.00000	0	CF2_L001_3.MP4	81122	59.94006
