Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,DBCA_Zone,DBCA_Sanctuary
B1-01,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-02,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-03,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-04,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-05,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-06,-21.83921,114.17564,20100727,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B2-01,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-02,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-03,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-04,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-05,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-06,-21.856,114.16995,20100728,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
CB1-01,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-02,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-03,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-04,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-05,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-06,-23.17701,113.75987,20100802,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB2-01,-23.14517,113.76387,20100802,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-02,-23.14517,113.76387,20100802,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-03,-23.14517,113.76387,20100802,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-04,-23.14517,113.76387,20100802,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-05,-23.14517,113.76387,20100802,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
