Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,DBCA_Zone,DBCA_Sanctuary
B1-01,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-02,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-03,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-04,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-05,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B1-06,-21.83921,114.17564,20111024,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B2-01,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-02,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-03,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-04,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-05,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B2-06,-21.856,114.16995,20111024,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Ryan Douglas,50,Sanctuary,Bundegi
B3-01,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B3-02,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B3-03,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B3-04,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B3-05,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B3-06,-21.86648,114.15926,20111024,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Ryan Douglas,50,Sanctuary,Bundegi
B4-01,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B4-02,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B4-03,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B4-04,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B4-05,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
B4-06,-21.83633,114.1777,20111024,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,Yes,3.5,Ryan Douglas,50,Recreation,Bundegi
CB1-01,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-02,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-03,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-04,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-05,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB1-06,-23.17701,113.75987,20110720,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Ryan Douglas,50,Recreation,Maud
CB2-01,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-02,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-03,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-04,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-05,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB2-06,-23.14517,113.76387,20110720,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Maud
CB3-01,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB3-02,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB3-03,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB3-04,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB3-05,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB3-06,-23.14875,113.75278,20110719,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Ryan Douglas,50,Sanctuary,Maud
CB4-01,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CB4-02,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CB4-03,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CB4-04,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CB4-05,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CB4-06,-23.19949,113.76297,20110720,11:00:00,Ningaloo Marine Park,Fished,CB4,Yes,Yes,5,Ryan Douglas,50,Recreation,Maud
CL1-01,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL1-02,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL1-03,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL1-04,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL1-05,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL1-06,-22.8695,113.76411,20110719,11:00:00,Ningaloo Marine Park,No-take,CL1,Yes,Yes,3,Ryan Douglas,50,Sanctuary,Cloates
CL2-01,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
CL2-02,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
CL2-03,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
CL2-04,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
CL2-05,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
CL2-06,-22.92786,113.77872,20110719,11:00:00,Ningaloo Marine Park,Fished,CL2,Yes,Yes,3,Ryan Douglas,50,Recreation,Cloates
L1-01,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L1-02,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L1-03,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L1-04,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L1-05,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L1-06,-21.79904,114.12791,20111027,11:00:00,Ningaloo Marine Park,Fished,L1,Yes,Yes,12,Ryan Douglas,50,Recreation,Lighthouse
L2-01,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
L2-02,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
L2-03,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
L2-04,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
L2-05,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
L2-06,-21.79652,114.13527,20111028,11:00:00,Ningaloo Marine Park,No-take,L2,Yes,Yes,11,Ryan Douglas,50,Sanctuary,Lighthouse
MB1-01,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB1-02,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB1-03,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB1-04,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB1-05,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB1-06,-21.96544,113.92226,20111027,11:00:00,Ningaloo Marine Park,No-take,MB1,Yes,Yes,2,Ryan Douglas,50,Sanctuary,Mangrove
MB2-01,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB2-02,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB2-03,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB2-04,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB2-05,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB2-06,-21.99948,113.91345,20111027,11:00:00,Ningaloo Marine Park,Fished,MB2,Yes,Yes,2,Ryan Douglas,50,Recreation,Mangrove
MB3-01,-21.9314,113.94476,20111027,11:00:00,Ningaloo Marine Park,Fished,MB3,Yes,Yes,4,Ryan Douglas,50,Recreation,Mangrove
MB3-02,-21.9314,113.94476,20111027,11:00:00,Ningaloo Marine Park,Fished,MB3,Yes,Yes,4,Ryan Douglas,50,Recreation,Mangrove
MB3-03,-21.9314,113.94476,20111027,11:00:00,Ningaloo Marine Park,Fished,MB3,Yes,Yes,4,Ryan Douglas,50,Recreation,Mangrove
MB3-04,-21.9314,113.94476,20111027,11:00:00,Ningaloo Marine Park,Fished,MB3,Yes,Yes,4,Ryan Douglas,50,Recreation,Mangrove
MB3-05,-21.9314,113.94476,20111027,11:00:00,Ningaloo Marine Park,Fished,MB3,Yes,Yes,4,Ryan Douglas,50,Recreation,Mangrove
