,X,sample,site,longitude,latitude,bathymetry,TPI,Slope,Aspect,Degrees,TRI,Roughness,FlowDir,mean.relief,sd.relief,reef,sand,distance.to.ramp,status,target.fish,model,zone
139,139,2.02,2,763004.116,7472845.656,-81.72470856,-0.024757104,0.009197859,4.592106342,263.1083125,0.173381805,0.575553894,8,0.904761905,0.300792604,0,100,41.66879152,F,0,Sublegal,SA
140,140,2.03,2,763350.4932,7473119.9,-78.18709564,-0.00796726,0.00992126,4.318522453,247.4331103,0.201604843,0.780632019,8,1,0,0,100,41.74338477,F,0,Sublegal,SA
141,141,2.04,2,764969.402,7473601.241,-72.89225006,-0.017070796,0.002175382,4.382908344,251.1221501,0.102385521,0.21421814,32,0.769230769,0.429668924,0,100,41.43003761,F,0,Sublegal,SA
142,142,2.05,2,764509.4621,7473813.109,-72.88749695,0.029664058,0.006194764,4.365426064,250.1204892,0.121966362,0.457420349,8,1,0,0,100,41.82450466,F,0,Sublegal,SA
143,143,2.06,2,763950.1502,7473924.777,-75.17484283,-0.001621521,0.001612254,3.989503622,228.5817199,0.031967163,0.129676819,8,0.961538462,0.196116135,0,100,42.17720145,F,0,Sublegal,SA
144,144,2.07,2,763174.37,7474218.534,-75.03862762,-0.00796726,0.008649259,0.685713351,39.28848096,0.201086998,0.654525757,64,1.153846154,0.784464541,0,100,42.79704389,F,2,Sublegal,SA
145,145,3.01,3,758745.7436,7474957.215,-96.48084259,0.02707055,0.00672114,4.90820837,281.2196246,0.357853889,0.809776306,4,1,0,0,100,45.66316484,F,0,Sublegal,SC
146,146,3.02,3,759312.5175,7475278.739,-91.55252838,0.081071824,0.031603228,4.952055454,283.7318774,0.61186409,1.862854004,16,1,0,0,100,45.63643424,F,0,Sublegal,SC
147,147,3.03,3,760099.3203,7475621.949,-83.04762268,0.000844992,0.01422299,5.023746967,287.8394986,0.281498909,0.838180542,16,0.884615385,0.431455497,0,100,45.5256201,F,0,Sublegal,SC
148,148,3.04,3,758615.956,7475741.974,-98.11288452,0.018197026,0.004171969,4.38083601,251.0034141,0.127132416,0.370956421,16,0.95,0.510417786,0,100,46.39771303,F,0,Sublegal,SC
149,149,3.05,3,758296.966,7475831.101,-100.1652527,0.007024281,0.007901224,5.190602303,297.3996051,0.161302567,0.503257751,16,1.272727273,0.827032456,13.64,86.36,46.642927,F,0,Sublegal,SC
150,150,3.06,3,757712.7349,7475917.474,-106.4493408,0.044133034,0.021574741,4.134244442,236.874758,0.461901665,1.195625305,8,0.347826087,0.831684799,0,100,47.02999644,F,0,Sublegal,SC
151,151,4.01,4,756327.7686,7475896.062,-124.9939575,0.009197502,0.008869363,5.179804325,296.7809265,0.186003685,0.580154419,32,2.277777778,1.363626461,50,50,47.7764631,F,1,Sublegal,SC
152,152,4.02,4,757761.9807,7477537.132,-111.8590698,-0.011061213,0.011386448,4.964842796,284.4645382,0.230007172,0.7395401,32,1.807692308,1.166849802,34.62,65.38,48.37602349,F,1,Sublegal,SC
153,153,4.03,4,756715.6223,7477564.92,-126.6524658,0.005806473,0.017735185,4.98507452,285.6237306,0.347391129,1.093544006,16,2.590909091,1.501081861,40.91,59.09,48.95738617,F,1,Sublegal,SC
154,154,4.08,4,756503.3496,7478001.619,-132.6751099,0.005412409,0.018514965,5.01205349,287.1695117,0.371124268,1.069122314,16,2.173913043,1.029217439,47.83,52.17,49.44021012,F,0,Sublegal,SC
155,155,4.11,4,756263.6387,7478260.437,-139.2176819,0.008295044,0.022821253,5.029681206,288.1795054,0.448011398,1.443405151,16,2.391304348,0.940943938,47.83,52.17,49.78788076,F,0,Sublegal,SC
156,156,4.12,4,755405.7476,7478045.604,-161.6857147,-0.047766481,0.034299556,4.916987419,281.722627,0.716157913,2.283325195,16,1.5,1.104536102,30.77,69.23,50.07755881,F,0,Sublegal,SC
157,157,5.02,5,761561.1178,7478300.961,-73.22128296,-0.005569199,0.002036999,4.82171011,276.2636393,0.092906952,0.248390198,16,1,0,0,100,47.16986034,NT,0,Sublegal,NP
158,158,5.03,5,763024.9014,7478220.266,-72.41085815,-0.009883516,0.002306125,3.169650793,181.607613,0.063800812,0.147247314,4,1,0,0,100,46.44339266,NT,0,Sublegal,NP
159,159,5.07,5,764130.3668,7479336.497,-72.10884857,-0.008094728,0.002491105,3.514492273,201.3655744,0.05126667,0.1873703,4,1,0,0,100,46.9936556,NT,0,Sublegal,NP
160,160,5.08,5,764053.42,7479859.468,-71.37051392,0.000325757,0.001396615,3.28338933,188.1243511,0.030776024,0.078659058,4,0.92,0.276887462,0,100,47.50411922,NT,0,Sublegal,NP
161,161,5.11,5,764136.8191,7480444.02,-70.73661041,0.000848686,0.001309311,3.381844044,193.7653907,0.039398193,0.102409363,8,1,0,0,100,48.00760602,NT,0,Sublegal,NP
162,162,5.13,5,765256.7768,7480642.515,-69.2760849,0.003356696,0.000873601,4.247647762,243.3722896,0.026162148,0.083084106,8,1,0,0,100,47.75774611,NT,0,Sublegal,NP
163,163,6.01,6,760385.5178,7479608.733,-87.02828217,-0.037366115,0.019030591,5.048174858,289.2391136,0.371758461,1.082443237,16,0.142857143,0.358568583,0,100,48.87571374,NT,0,Sublegal,NP
164,164,6.02,6,762229.1151,7480987.59,-72.21517181,0.027599683,0.012137246,5.984827995,342.9053852,0.236268997,0.742500305,64,0.96,0.2,0,100,49.28955454,NT,0,Sublegal,NP
165,165,6.03,6,761020.1165,7481079.317,-83.14222717,0.000699644,0.027484749,5.240298748,300.2470016,0.54583168,1.642707825,32,2.533333333,1.431982791,50,50,49.89843997,NT,0,Sublegal,NP
166,166,6.04,6,760863.0572,7481723.506,-89.45510101,-0.015982682,0.011150527,4.961586475,284.2779647,0.222273827,0.734268188,32,0.48,0.509901951,0,100,50.54678269,NT,1,Sublegal,NP
167,167,6.05,6,760980.796,7482893.461,-90.92992401,0.055830061,0.012387541,4.84320116,277.4949858,0.235700607,0.747467041,32,0.76,0.435889894,0,100,51.55036048,NT,0,Sublegal,NP
168,168,6.12,6,761074.1161,7484063.834,-95.15373993,-0.007123895,0.019472154,4.49567461,257.5831812,0.384654999,1.276184082,16,1,0,0,100,52.57188833,NT,1,Sublegal,NP
169,169,7.01,7,761994.7246,7483640.369,-79.79212952,0.092657864,0.015101407,5.234203339,299.8977604,0.3285923,1.146362305,32,1,0,0,100,51.80347973,NT,0,Sublegal,NP
170,170,7.02,7,762243.6631,7483916.338,-78.84509277,-0.023341466,0.00404349,5.166725159,296.0315455,0.0959692,0.343200684,16,1,0,0,100,51.95500557,NT,1,Sublegal,NP
171,171,7.03,7,762476.0903,7484651.191,-77.53735352,0.004049577,0.01038647,5.219932079,299.0800775,0.247848511,0.688362122,32,1,0,0,100,52.53762807,NT,0,Sublegal,NP
172,172,7.04,7,763252.439,7484357.526,-70.3975296,-0.007190975,0.003842307,5.322223663,304.9409535,0.079574585,0.272659302,32,1,0,3.85,96.15,51.96415614,NT,0,Sublegal,NP
173,173,7.05,7,764299.9405,7484211.983,-67.77716827,-0.017988535,0.005962466,2.977003574,170.5697404,0.123558998,0.396377563,4,1,0,13.04,86.96,51.43505193,NT,1,Sublegal,NP
174,174,7.08,7,764540.5219,7484003.976,-67.58417511,-0.002994445,0.003004333,4.321118832,247.5818718,0.061403275,0.1977005,16,0.95,0.223606798,0,100,51.15286355,NT,0,Sublegal,NP
175,175,8.01,8,761913.8594,7486036.677,-89.07994843,0.063997298,0.01739599,4.754557133,272.4160572,0.532487869,1.269737244,16,1.074074074,0.549540082,11.11,88.89,54.03558608,NT,5,Sublegal,NP
176,176,8.02,8,762567.5072,7487120.972,-80.2089386,0.280671954,0.01822523,1.95766151,112.1657422,0.923624039,1.766220093,1,3.892857143,1.342724861,78.57,21.43,54.78657433,NT,1,Sublegal,NP
177,177,8.05,8,765036.9164,7487197.372,-64.92251587,NA,0.006335189,3.239687443,185.6204174,0.162524223,0.582641602,4,0.952380952,0.21821789,0,100,53.97640574,NT,1,Sublegal,NP
178,178,8.06,8,765215.0275,7487802.613,-63.82362366,-0.005367894,0.006586452,4.791672707,274.5426229,0.127264023,0.361862183,16,1.045454545,0.213200716,4.55,95.45,54.48894578,NT,0,Sublegal,NP
179,179,8.07,8,764832.139,7487896.807,-65.54180145,0.053629816,0.006092034,3.946119547,226.0959955,0.157930374,0.386367798,4,1,0,0,100,54.70562677,NT,3,Sublegal,NP
180,180,8.12,8,761695.0807,7487518.144,-99.5442276,-0.000509376,0.019153452,5.316059589,304.5877781,0.382938385,1.224098206,16,1.6,1.08012345,28,72,55.48798439,NT,1,Sublegal,NP
181,181,9.01,9,760519.1682,7487308.99,-117.5739899,-0.007870233,0.016334495,5.04556942,289.089833,0.317340851,1.007080078,16,2.16,0.943398113,52,48,55.7627317,NT,0,Sublegal,NP
182,182,9.02,9,759027.6313,7487207.025,-162.6547241,0.011067392,0.048178557,5.126849651,293.7468472,0.939939499,3.154449463,32,1.619047619,0.74001287,33.33,66.67,56.29347605,NT,1,Sublegal,NP
183,183,9.05,9,759390.2523,7488423.766,-173.8242645,-0.018951567,0.046531655,5.137383461,294.3503901,0.911237717,3.201766968,32,1.04,0.2,4,96,57.24558459,NT,0,Sublegal,NP
184,184,9.06,9,760119.7398,7488232.998,-136.0333557,-0.00541333,0.038205452,5.015215397,287.3506756,0.745767593,2.303527832,16,2.217391304,0.795242772,47.83,52.17,56.77131242,NT,1,Sublegal,NP
185,185,9.07,9,759427.0874,7486283.049,-132.8708344,0.004152047,0.029874979,5.044203758,289.0115864,0.562252045,1.740905762,16,2.8,0.763762616,60,40,55.28559406,NT,1,Sublegal,NP
186,186,9.08,9,758203.7794,7486150.969,-178.3838654,0.008114242,0.043220885,5.088785648,291.5659405,0.852685928,2.906799316,32,0.708333333,0.550032937,20.84,79.17,55.70403337,NT,0,Sublegal,NP
187,187,10.01,10,762667.659,7490100.156,-97.5858078,0.032625437,0.018138483,4.904821396,281.0255652,0.356557846,1.075706482,16,3.352941176,1.574076987,64.7,35.29,57.5281194,NT,3,Sublegal,NP
188,188,10.02,10,762672.4812,7490380.328,-99.33257294,0.022173895,0.017327879,5.143274784,294.687938,0.357643127,1.24773407,32,2.25,1.047269876,40.62,59.38,57.78884231,NT,1,Sublegal,NP
189,189,10.03,10,763340.6535,7490878.373,-90.81806946,0.053461701,0.011954342,1.846186519,105.7786957,0.311972618,0.889518738,4,3.233333333,1.633345062,73.33,26.67,58.0235536,NT,0,Sublegal,NP
