,X,sample,site,longitude,latitude,bathymetry,TPI,Slope,Aspect,Degrees,TRI,Roughness,FlowDir,mean.relief,sd.relief,reef,sand,distance.to.ramp,status,target.fish,model,zone
80,80,13.03,13,778119.6636,7520504.752,-85.02671814,0.025257798,0.018265439,5.97259903,342.2047171,0.360908508,1.191886902,64,1.5,0.511766316,0,100,61.10796485,F,1,Legal,NC
81,81,13.04,13,777706.386,7520665.055,-95.99886322,-0.005126046,0.022143811,5.10059166,292.2423751,0.440639496,1.372009277,16,1.08,0.276887462,0,100,61.16784796,F,1,Legal,NC
82,82,13.05,13,777283.9695,7520315.916,-101.1906052,-0.029150268,0.032091442,5.196154594,297.717728,0.617980003,2.116775513,16,0.80952381,0.402373908,0,100,61.67969182,F,2,Legal,NC
83,83,13.06,13,777178.3295,7519884.655,-97.57118988,-0.005850429,0.02621115,5.365592003,307.4257764,0.505390167,1.725479126,32,1,0,0,100,62.10821131,F,0,Legal,NC
84,84,13.08,13,778400.322,7521136.702,-87.99049377,0.029608499,0.015588338,4.688868999,268.6524044,0.301996231,0.833602905,16,1,0,0,100,60.41780721,F,3,Legal,NC
85,85,14.01,14,780611.888,7528637.538,-101.5208969,0.021068867,0.020560373,5.352776527,306.6915037,0.383592606,1.401031494,16,0.88,0.781024968,20,80,52.79448306,F,7,Legal,SA
86,86,14.02,14,781525.7151,7531103.293,-107.3547287,-0.009915528,0.019839844,4.956559658,283.9899493,0.389137268,1.207473755,16,1.15,1.089422831,0,100,50.20581117,NT,12,Legal,SA
87,87,14.03,14,782625.0231,7534001.167,-115.1100616,0.001973802,0.033982225,5.209298611,298.4708246,0.665073395,2.287109375,32,1,0.3086067,9.09,90.91,47.15671839,F,4,Legal,SA
88,88,14.06,14,787754.0461,7544788.713,-102.3585129,-0.015822669,0.007919077,4.958137512,284.0803537,0.150746346,0.465782166,16,0.739130435,0.448977759,0,100,35.29960224,F,2,Legal,SA
89,89,14.11,14,781957.8327,7528455.05,-78.90434265,0.099288292,0.031710546,5.355347633,306.8388172,0.586105347,2.238929749,32,0.84,0.6244998,0,100,52.27938056,F,3,Legal,NC
90,90,14.12,14,782907.6018,7530598.725,-86.97949982,-0.018942263,0.016122065,5.029551506,288.1720741,0.305913925,0.982681274,16,0.6,0.5,0,100,49.94191097,NT,11,Legal,SA
91,91,14.13,14,782502.1797,7532877.86,-104.8987808,0.106958665,0.016524374,5.383741379,308.465659,0.309149742,1.185935974,32,1,0,0,100,48.17925675,NT,11,Legal,SA
92,92,15.01,15,787871.3025,7545327.359,-103.163559,0.019591022,0.015060041,5.056985855,289.7439466,0.307084084,0.948616028,32,1,0,0,100,34.78809451,F,2,Legal,SA
93,93,15.02,15,788149.0052,7545834.238,-102.7137604,-0.009677217,0.020541271,5.146429539,294.8686921,0.40480423,1.311828613,32,0.909090909,0.294244943,4.55,95.45,34.21249092,F,5,Legal,SA
94,94,15.05,15,787054.1603,7546640.074,-126.6387253,0.009596645,0.031695947,4.914674282,281.590094,0.623614311,1.848930359,16,1.115384615,0.325812594,7.69,92.31,34.19794188,F,1,Legal,SA
95,95,15.07,15,787960.1934,7549431.615,-119.5628433,-0.020385031,0.038606301,5.139713287,294.4838793,0.767246246,2.551475525,32,1.3,0.470162346,0,100,31.43352412,F,3,Legal,SA
96,96,15.12,15,787770.1418,7548612.647,-114.0046616,0.07007055,0.034391597,4.794364929,274.6968759,0.655446053,2.141868591,16,1.866666667,0.351865775,26.67,73.33,32.19456935,F,4,Legal,SA
97,97,16.01,18,788930.7372,7551058.332,-104.8821259,0.041455898,0.021420782,5.27557373,302.2681093,0.551402092,1.819633484,32,0.7,0.470162346,0,100,29.55671345,F,2,Legal,SA
98,98,16.02,16,788031.1271,7551663.332,-153.1077728,0.277886301,0.223578945,5.017384529,287.4749577,4.507890701,14.33882141,16,3.818181818,0.501081082,81.82,18.18,29.67514987,F,0,Legal,SA
99,99,16.03,16,788543.9969,7552712.24,-193.175293,NA,NA,NA,#VALUE!,NA,NA,8,1,0,0,100,28.54944542,F,1,Legal,SA
100,100,16.04,16,789739.801,7553717.522,-102.5539474,0.014391762,0.012246437,5.598483086,320.7694525,0.227238655,0.882324219,32,1,0,0,100,27.00299472,F,0,Legal,SA
101,101,16.05,16,791573.9094,7554993.495,-89.17428589,-0.026177932,0.023730468,5.118787766,293.2849352,0.463973999,1.5779953,32,1.846153846,0.612686392,7.69,92.31,24.83739313,F,2,Legal,SA
102,102,17.08,17,790911.9268,7554033.159,-94.17247009,-0.033288345,0.020452987,4.940619469,283.0766437,0.403149605,1.241638184,16,0.590909091,0.590326053,0,100,25.99907425,F,3,Legal,SA
103,103,18.01,18,790226.9323,7556797.814,-101.9800034,0.040850952,0.013758322,4.720168591,270.4457388,0.262349129,0.770935059,16,0.583333333,0.503610155,0,100,24.42753857,F,3,Legal,SA
104,104,18.02,18,790211.329,7557282.245,-104.821106,0.099453352,0.048389636,5.430283546,311.1323288,0.912866592,3.417449951,32,0.555555556,0.506369684,0,100,24.10089352,F,0,Legal,SA
105,105,18.03,18,789817.8863,7557238.538,-145.6628571,0.380372912,0.306827277,5.171969891,296.3320465,6.292070389,22.22459412,32,2,0.748331477,26.92,73.08,24.41631293,F,1,Legal,SA
106,106,18.04,18,790071.1836,7557667.049,-121.5851974,0.039717138,0.052525733,5.136642456,294.3079336,1.037534714,3.437324524,32,2.384615385,0.852146611,65.39,34.62,23.93872506,F,2,Legal,SA
107,107,18.07,18,791884.6963,7557531.577,-96.54286194,-0.006084393,0.006734301,4.853443146,278.0818084,0.129405975,0.453910828,32,1.130434783,1.013739604,0,100,22.74115128,F,1,Legal,SA
108,108,18.08,18,791349.2284,7556445.8,-98.39230347,-0.007007506,0.000748902,2.945036173,168.7381432,0.459932327,1.47833252,64,0.5,0.512989176,0,100,23.89876015,F,0,Legal,SA
109,109,19.01,19,791438.9253,7562989.581,-114.003891,0.040846556,0.040390294,5.081953049,291.1744614,0.805319786,2.632896423,32,1,0,0,100,19.54558869,F,0,Legal,SA
110,110,19.02,19,791309.891,7563606.798,-128.3304443,-0.00796726,0.050834306,4.787991524,274.3317067,1.016670227,2.887817383,16,1.4,0.50262469,0,100,19.31584298,F,1,Legal,SA
111,111,19.03,19,792252.8685,7564149.946,-103.1063995,0.049705792,0.020499513,5.144515991,294.7590539,0.395643234,1.388442993,16,0.909090909,0.294244943,0,100,18.22988699,F,3,Legal,SA
112,112,19.04,19,791742.1759,7564414.211,-113.2444611,0.02992725,0.042679865,5.184952259,297.0758814,0.822992325,3.052276611,32,1.086956522,0.51460872,0,100,18.52533016,F,0,Legal,SA
113,113,19.05,19,792116.4565,7564738.544,-104.5185165,0.263400644,0.022388587,5.299530029,303.6407041,0.917250633,2.724380493,32,0,0,0,100,18.03844544,F,1,Legal,SA
114,114,19.08,19,791534.4615,7565131.527,-136.4824982,0.043492768,0.05002103,4.666095734,267.3475923,0.955450058,2.902572632,16,1,0,0,100,18.34954381,F,0,Legal,SA
115,115,23.01,23,819095.819,7598699.802,-104.7586823,-0.028132612,0.038471121,5.157906532,295.5262754,0.754817009,2.669685364,32,1.666666667,0.6172134,0,100,20.53930823,F,0,Legal,SA
116,116,23.02,23,818581.2151,7598811.982,-110.7126999,0.004842265,0.013330279,5.107722759,292.650957,0.262168884,0.912361145,16,1,0,0,100,20.900467,F,0,Legal,SA
117,117,23.03,23,818858.9326,7599163.267,-114.8726807,0.002105651,0.012077476,5.749918938,329.4460877,0.234931946,0.852752686,32,0.666666667,0.487950036,0,100,21.05951853,F,2,Legal,SA
118,118,23.04,23,819208.938,7599436.653,-115.2874756,-0.005187423,0.009171239,5.040090084,288.7758902,0.179907799,0.706970215,16,1,0,0,100,21.12345999,F,0,Legal,SA
119,119,23.06,23,820253.4322,7599976.531,-110.9532547,0.055768255,0.010904883,2.259921789,129.4839805,0.201170921,0.807731628,2,0.5,0.512989176,0,100,21.11914807,F,1,Legal,SA
120,120,23.09,23,818132.9157,7596458.944,-66.78916931,0.019105591,0.020993587,5.690479279,326.0404461,0.398785591,1.401855469,32,0.304347826,0.470471969,13.05,86.96,19.19379324,F,0,Legal,SA
121,121,30.01,30,800046.3103,7574160.371,-70.00640869,0.035695791,0.005572844,4.527596474,259.4121693,0.133719444,0.419555664,32,0.333333333,0.658280589,9.52,90.48,7.642817374,F,1,Legal,SA
122,122,30.02,30,800374.8915,7574636.25,-69.52465057,0.046672404,0.004959624,5.33221817,305.5135966,0.127583504,0.463752747,32,0,0,0,100,7.350315659,F,5,Legal,SA
123,123,30.03,30,800761.5353,7575391.418,-71.45536804,-0.054114785,0.010797005,5.737673759,328.7444906,0.208300591,0.977478027,32,0.052631579,0.229415734,0,100,7.09127825,F,1,Legal,SA
124,124,30.04,30,801124.3181,7575923.161,-71.05098724,-0.032109071,0.034456108,5.222135544,299.2063267,0.658605576,2.464157104,32,1,0.978019294,20.84,79.17,6.879387863,F,1,Legal,SA
125,125,30.05,30,801526.3071,7576502.918,-69.23272705,0.138518095,0.057201978,5.410528183,310.0004298,1.061263084,3.551338196,32,1.428571429,0.790151014,25,75,6.705633636,F,1,Legal,SA
126,126,30.06,30,801757.4469,7576745.673,-68.52754211,0.11783877,0.024998173,5.329040051,305.3315038,0.471305847,1.944572449,32,2,1.112697281,36.37,63.64,6.597471065,F,2,Legal,SA
127,127,31.01,31,819744.7941,7598593.871,-78.7257309,0.042050187,0.059761874,5.564219952,318.8063195,1.087518692,4.175323486,32,1.541666667,0.931532943,16.67,83.33,20.12528587,F,4,Legal,SA
128,128,31.02,31,819750.0482,7598078.342,-72.55914307,-0.035402086,0.013865475,5.300812721,303.7141969,0.263014793,1.001159668,16,0.571428571,0.507092553,4.76,95.24,19.6727617,F,1,Legal,SA
129,129,31.03,31,819616.8488,7597805.741,-68.60127258,0.003283737,0.0082339,6.033685207,345.7046973,0.163444519,0.494468689,32,1.260869565,0.448977759,34.79,65.22,19.5033781,F,0,Legal,SA
130,130,31.04,31,819509.1002,7597597.287,-66.35845947,-0.013015957,0.01970892,5.111949921,292.8931555,0.382094383,1.265792847,16,0.730769231,0.533493566,25.93,74.07,19.37910916,F,6,Legal,SA
131,131,31.05,31,818844.242,7597156.076,-68.92514038,0.035374496,0.018868936,6.011394024,344.4275066,0.370685577,1.163238525,32,0.55,0.510417786,20,80,19.3599665,F,1,Legal,SA
132,132,31.06,31,818430.6846,7596935.224,-67.47689056,0.036770556,0.02535053,5.348843575,306.4661621,0.474596024,1.721374512,32,0.52,0.585946528,8,92,19.40864442,F,1,Legal,SA
133,133,1.01,1,760704.4133,7471076.48,-91.23968506,0.014305111,0.001047349,2.105669022,120.645948,0.022571564,0.073387146,2,0.421052632,0.507257274,0,100,41.3334074,F,0,Sublegal,SC
134,134,1.02,1,759139.0886,7470848.59,-94.34012604,0.000371443,0.002775963,4.05717659,232.4590953,0.063574791,0.221069336,16,0.88,0.331662479,0,100,42.01829975,F,0,Sublegal,SC
135,135,1.03,1,757892.6429,7471511.596,-99.84898376,0.003566432,0.005072603,3.730381489,213.7351153,0.167676926,0.470031738,1,1,0,0,100,43.28095289,F,0,Sublegal,SC
136,136,1.04,1,758450.4959,7471955.904,-97.16971588,-0.002398027,0.008381449,3.449880123,197.6635709,0.217530251,0.750022888,16,0.44,0.506622805,0,100,43.32185222,F,0,Sublegal,SC
137,137,1.05,1,758216.8383,7472636.277,-96.72718811,0.025080988,0.007291256,4.303916931,246.5962755,0.449636459,0.739852905,4,1,0,0,100,44.01511965,F,5,Sublegal,SC
138,138,1.06,1,758979.2681,7472915.017,-94.58437347,-0.024822693,0.008908522,3.800894022,217.7751858,0.249538422,0.906295776,16,0.44,0.506622805,0,100,43.81949302,F,0,Sublegal,SC
